stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,1.64,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0.81,0,0,1.61,0,0,0.81,0
 48-58,0,0,0,0,0,1.72,0,0,0,0.57,0,0,0,2.87,0,0.57,4.02,0,0,0,0.57,0.57,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,1.96,0.98,0,0,0,0.98,0,0,12.76,0.98,0,7.85,0,0,0,1.96,0,0,0.98,0,0,0.98,0.98
 72-82,0,0,0,1.96,0,2.94,1.96,0,0,0.98,0,0,0,8.83,6.87,0,20.61,0,0,0.98,0.98,0,0,0.98,0,1.96,0,2.94
 84-94,0,0,0,0,0,3.19,2.12,0,0,0,0,0,0,9.56,1.06,1.06,18.05,0,0,0,1.06,0,0,0,1.06,0,1.06,6.37
 96-106,0,0,0,0,1.09,2.19,4.37,0,2.19,1.09,1.09,2.19,0,7.65,3.28,0,13.11,1.09,0,1.09,0,0,0,0,0,1.09,1.09,15.3
108-118,0,0,0,0.77,0,5.36,2.3,0,0,0,0.77,0.77,0,9.96,5.36,0,14.55,1.53,0,0.77,0.77,0,0,0.77,0,0.77,0,4.6
120,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,11.76,1.96,1.96,11.76,1.96,0,0,1.96,3.92,0,1.96,0,0,0,17.64
