stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.28,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,6.29,0,0,3.15,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,67,0,0,0,0,0,0,1,4,0,0,1,0,2,1,0,0,0,4,5,1,22,0,30,1,0,1,0,0,0,0,0
 24-34,0,0,0,7.39,14.78,0,0,0,0,1.64,0,0,0,0,0,5.75,1.64,0.82,0.82,4.1,0,0.82,18.06,0.82,4.93,19.7,0,141.19,0,1.64,0.82,1.64,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,1.61,0,0,0,0,0,0.81,2.42,0,0.81,2.42,0,0,8.86,0,1.61,24.98,0,154.69,0,0,0,1.61,0,0,0,0.81
 48-58,0,0,0.57,0,3.44,0,0,2.87,0,4.59,0,0.57,0.57,1.15,0,0.57,4.02,0,1.72,2.3,0,1.15,16.07,0,1.15,21.8,0,156.07,0,0.57,0,1.72,0,0.57,0,0
 60-70,0,0,0,0,6.87,0,0,2.94,0,4.91,0,0,4.91,0,0.98,0.98,7.85,0.98,2.94,2.94,0,0,10.8,0,3.93,19.63,0,151.15,0,0,0,0,0,0,0,0
 72-82,0,0,12.76,1.96,20.61,0,0,4.91,0,0.98,0,3.93,32.39,2.94,1.96,1.96,8.83,0,5.89,7.85,0,0,14.72,0,4.91,45.16,0,252.29,0,0,0,0,3.93,0,0,0
 84-94,0,0,3.19,3.19,28.68,0,0,0,0,11.68,0,2.12,48.85,3.19,1.06,7.43,12.74,3.19,2.12,10.62,0,0,9.56,0,7.43,31.86,0,618.11,0,4.25,0,1.06,9.56,1.06,0,1.06
 96-106,0,0,4.37,2.19,53.55,0,0,6.56,0,6.56,0,3.28,89.61,0,3.28,6.56,26.23,0,1.09,5.46,1.09,0,18.58,0,9.84,57.92,0,404.35,0,0,0,0,10.93,0,1.09,2.19
108-118,0,0,3.06,3.06,40.6,1.53,0.77,6.13,0.77,12.26,0,2.3,104.17,0,5.36,6.89,16.09,1.53,4.6,7.66,0,0,13.02,0.77,6.89,42.89,0,457.28,0,0,0,0.77,6.13,1.53,0,0
120,1.96,0,0,3.92,43.12,0,0,0,0,13.72,1.96,1.96,97.99,0,3.92,0,17.64,0,0,3.92,0,1.96,11.76,0,3.92,45.08,0,221.46,0,0,0,0,9.8,0,0,0
