stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,23.66,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,10,1,0,0,0,4,0,0,0,0,1,3,0,0,2,36,0,1,0,1,4,4,0,3,14,0,0
 24-34,0,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0,4.1,0,0,3.28,23.8,0,0,0.82,0,7.39,0,0.82,0,4.93,0.82,0.82
 36-46,0,0,0,0,1.61,0,0,0,0,0.81,0,0.81,0,2.42,0,0,0.81,9.67,0,0.81,0,0,4.83,0,0,0,2.42,1.61,0
 48-58,0,0,0,0,2.3,0.57,0.57,0,0,0,0,0,0,1.15,0,0,1.15,4.59,0,0,0,0,1.15,0,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,2.94,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,0,1.96,0,0,0,0,0,2.94,0,0,0.98,4.91,0,0,0,0,5.89,0,0,0,1.96,0,0
 84-94,0,0,0,1.06,0,0,0,2.12,0,0,0,0,0,5.31,0,1.06,1.06,5.31,0,1.06,0,0,5.31,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,3.28,0,0,1.09,0,0,0,0,0,1.09,1.09,0,0,1.09,0,0,0,0,7.65,0,0,0,0,0,1.09
108-118,0,0,0,0,1.53,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
