stage,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0.82,0,0.82,0,1.64,3.28,0,0,0,0.82,0.82
 36-46,1.61,0,0,0,0,0,0,0,0,0,0,0.81,0,0,5.64,0,0,0,0,0
 48-58,1.15,0,0.57,0,1.72,0,0.57,0,0,0,0,2.3,0,0,5.74,0,0,0,0.57,0
 60-70,0.98,0,2.94,0,0.98,0,0,0.98,0,0,1.96,1.96,0,0,9.82,0,0,0,0.98,0
 72-82,10.8,0.98,0.98,0,0.98,0,3.93,0,0,0,0.98,2.94,0.98,0,11.78,0,0,0,0,1.96
 84-94,2.12,0,1.06,0,2.12,1.06,15.93,0,0,0,0,1.06,0,1.06,7.43,1.06,0,0,0,1.06
 96-106,4.37,0,0,0,0,0,6.56,0,0,0,0,0,0,0,2.19,0,0,1.09,0,2.19
108-118,3.83,0,0.77,0.77,0,0,6.13,0,0,0.77,4.6,1.53,0,0,5.36,0,0,0,0,0.77
120,1.96,0,0,0,0,0,5.88,0,1.96,0,0,3.92,0,0,11.76,0,0,0,1.96,0
