stage,axial,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,5,0,7,0,0,3,0,0,0,0,0,8,0,2,56,1,0,1,1,1,3,0,5,16,0,0,0,0
 24-34,0,0,1.64,0,18.06,0,0,0.82,0,0,0,0,0,10.67,0,1.64,103.43,0,1.64,0.82,0,1.64,0,0,1.64,20.52,0,0.82,0,0.82
 36-46,0,0,0,0,25.78,0,0.81,1.61,0,0,0,0,0.81,5.64,0.81,0,78.15,0,0,0,0,0,0,0,0,15.31,0,0.81,0,0.81
 48-58,0,0,2.87,0,20.66,0,0,4.02,0,0.57,0,0,0,4.02,0,2.3,46.48,0,0,0,0,0,0,0,0,6.89,0,0,0,0
 60-70,0,0,0,0,21.59,0,0,3.93,0,0,0,0,0.98,7.85,0,0.98,50.06,1.96,0,0,0,0,0,0,0,4.91,0.98,0,0,0
 72-82,0,0,2.94,0.98,12.76,0,0.98,3.93,0,0,0.98,0.98,0,15.71,0.98,0.98,42.21,0,0,0,0,1.96,0,0,0,0,0,1.96,0.98,0
 84-94,0,0,1.06,0,20.18,1.06,0,0,0,0,0,0,0,5.31,0,0,16.99,0,0,0,0,0,0,1.06,0,1.06,0,1.06,0,0
 96-106,0,0,2.19,4.37,5.46,0,1.09,4.37,0,0,2.19,0,0,2.19,0,0,14.21,1.09,0,1.09,0,2.19,0,0,0,0,0,2.19,0,0
108-118,0,0,1.53,0,12.26,0,0,4.6,0,0,0,0.77,0,4.6,0,0.77,17.62,0,0,0.77,0,0.77,0,0,0,1.53,0,1.53,0,0
120,1.96,0,1.96,0,3.92,0,0,1.96,1.96,0,0,0,0,1.96,0,0,7.84,0,1.96,0,0,0,0,0,0,0,0,0,0,0
