stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,12.26,349.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,34.17,0,0,0,13.14,0,0,0,0,0,0,0,118.29,5.26,0,0,55.2,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,141.61,0,0,0,56.65,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,2,1,4,0,2,0,0,0,0,0,0,6,0,1,27,1,0,0,1,1,4,0,4,10,0,0,0
 24-34,0,0,0,0,0.82,6.57,0,0.82,0,0,0,0,0.82,0,1.64,0,2.46,36.12,0,0.82,0,0,0.82,0,0,1.64,8.21,0.82,0,0
 36-46,0,0,0,0,0,8.06,0,1.61,0,0,0,0,0,0.81,3.22,0.81,0,33.03,0,0,0,0,0,0,0,0,6.45,0.81,0,0
 48-58,0,0,0,0,0,8.61,0,1.72,0,0,0.57,0,0,0,6.31,0.57,0,12.62,0,0,0,0,1.15,0,0,0,5.74,0,0,0
 60-70,0,0,0,0,0,11.78,0,2.94,0,0,0,0,0,0,6.87,0.98,0,16.69,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,2.94,0,1.96,0.98,0,0,0,0,0,7.85,0,0,13.74,0,0,0.98,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,3.19,0,3.19,0,0,0,0,0,0,3.19,0,0,4.25,0,0,0,0,1.06,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,1.09,0,5.46,0,3.28,0,0,0,0,0,1.09,4.37,0,0,3.28,0,0,1.09,0,1.09,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0.77,0,4.6,1.53,0.77,0,0,0,0.77,0,0.77,5.36,0,0.77,6.89,0,0.77,0,0,1.53,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,3.92,5.88,0,0,0,0,0,0,0,0,0,1.96,0,1.96
