stage,blastomeres,endocrine.pancreas,epidermis,eye,gut,immune,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,2,0,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,4.1,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.44,0,0,0,0,0,0.57,0,0
 60-70,0,0.98,0.98,0,0,1.96,0.98,0,0,0,0,0,0,0.98
 72-82,0,1.96,0,0,0.98,6.87,0.98,0,0,1.96,0,0,0,0
 84-94,0,2.12,0,1.06,0,7.43,0,0,0,3.19,0,0,0,0
 96-106,0,4.37,2.19,0,0,4.37,1.09,1.09,0,2.19,0,0,1.09,0
108-118,0,2.3,0.77,0.77,2.3,9.19,0.77,0,0,2.3,0.77,0,0,0
120,0,3.92,1.96,1.96,0,11.76,0,0,1.96,0,0,0,0,0
