stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,19.7,0,0,0,0,0.82,3.28,0,0,0,0,0,0.82,13.95,0,0,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0.81,0,0,0,0.81,0,0,0,0,0,0,15.31,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0.57,0,0,10.33,0,0,0,0,0.57,3.44,0,0,0,0,0,0,13.77,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,10.8,0,2.94,0,0,0,3.93,0,0,0,0,0,0,26.5,0,0,0,0,0.98,0,0
 72-82,0,0.98,2.94,1.96,0,18.65,0.98,0,0,4.91,36.32,0,0,0.98,0,0,0,25.52,0,13.74,0,0.98,0.98,39.27,0,1.96,0,0,0,2.94,58.9,0,1.96,0.98,0,2.94,0.98,0.98
 84-94,0,0,1.06,3.19,0,10.62,0,0,1.06,2.12,64.78,1.06,0,0,0,0,0,20.18,1.06,4.25,0,0,2.12,25.49,0,0,1.06,0,0,7.43,124.26,0,0,0,0,0,0,0
 96-106,0,2.19,20.76,13.11,1.09,46.99,4.37,2.19,5.46,14.21,306,0,0,4.37,1.09,3.28,2.19,81.96,0,28.41,0,0,9.84,142.07,0,3.28,4.37,0,1.09,22.95,130.05,0,3.28,1.09,1.09,2.19,5.46,3.28
108-118,0,1.53,15.32,4.6,3.83,32.94,1.53,5.36,1.53,9.96,485.62,0,0,0.77,3.83,1.53,3.06,134.81,1.53,31.4,0.77,1.53,7.66,117.96,1.53,0.77,3.06,0,0.77,13.02,135.58,1.53,3.06,0.77,0.77,1.53,0.77,3.83
120,0,0,7.84,15.68,1.96,37.24,0,7.84,3.92,15.68,431.15,0,1.96,3.92,0,0,1.96,148.94,0,21.56,0,1.96,7.84,113.67,3.92,1.96,3.92,0,1.96,7.84,90.15,0,5.88,1.96,0,1.96,0,0
