stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,5,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,30.37,0,0.82,0,0,0,0,27.91,0,0,0
 36-46,0,0,0,0,2.42,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,81.37,0,3.22,0,0,0,0,50.76,0,0,0
 48-58,0,0,0.57,0,9.18,0,0,1.72,0,0.57,0.57,0,0,0,0,0,1.72,0,0.57,131.98,0.57,2.3,0,0.57,0,0.57,51.64,0,0.57,0.57
 60-70,0,0,0,0,32.39,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,288.57,0,5.89,0,0,0,0,95.21,0,0,0
 72-82,0,0,1.96,0.98,56.94,0,0,12.76,0,0,0,0,0,0,0,0,5.89,1.96,0.98,476.11,0,10.8,0,0,0,0,85.4,0,1.96,0
 84-94,0,0,3.19,1.06,36.11,0,0,11.68,0,0,0,1.06,0,0,1.06,0,3.19,0,0,228.34,0,15.93,0,1.06,0,0,30.8,0,0,0
 96-106,0,0,1.09,1.09,32.79,1.09,1.09,9.84,2.19,0,1.09,1.09,0,0,2.19,0,6.56,0,1.09,250.26,0,27.32,1.09,1.09,0,0,27.32,0,1.09,0
108-118,0,0.77,3.06,0,34.47,0.77,0,17.62,0.77,0,0,0,0,0.77,0.77,0.77,5.36,0,0.77,246.64,0,23.74,0,0.77,0,0,13.02,0.77,0,0
120,0,0,5.88,0,35.28,0,0,17.64,1.96,0,0,1.96,0,0,0,0,3.92,0,0,284.17,0,11.76,0,3.92,0,0,29.4,0,0,0
