stage,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,5,1,0,1,1,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0.82,4.1,0,0,0.82,0,0,1.64,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,7.25,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,1.72,0.57,0,0,0,0.57,0,0,5.16,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,2.94,0,0,1.96,0,0,1.96,0,6.87,0.98,0,0,0,0,0.98,0,0.98
 72-82,0,0.98,0,0.98,0,0,0.98,0,0,0.98,0,6.87,0,0,0,0,0,0.98,0,0
 84-94,0,1.06,1.06,3.19,0,0,1.06,0,0,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0,2.19,0,0,0,1.09,0
108-118,0,0,0.77,1.53,0,0,0.77,0,0,4.6,0,3.83,0,0,0.77,0,0,0,0,0.77
120,0,5.88,0,0,0,0,1.96,1.96,0,1.96,3.92,5.88,0,0,0,0,0,0,0,0
