stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,1,2,1,7,0,0,0,0,0
 24-34,0.82,0,1.64,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,2.46,94.4,0,4.1,0,0,0,0.82,1.64,0.82,30.37,0,0,1.64,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,3.22,0,0,0,0,0,0,7.25,0,0,0.81,199.81,0,0,0,0,0,0.81,2.42,0,33.03,0,0,2.42,0,0
 48-58,0,0,0.57,0,0,14.35,0,0,0,9.18,0,0,0,0,0,1.15,5.74,0,0,2.87,298.95,0.57,0,0,0.57,0.57,0.57,0,0,36.72,0,0,1.15,0,0
 60-70,0,0,0.98,0,0,87.36,0,0,0,41.22,0,0,0.98,0,0.98,0,5.89,0.98,0,1.96,591.86,0,0,0,0,0,1.96,0,0,39.26,0.98,0,0,0,0.98
 72-82,1.96,0,4.91,1.96,0,200.26,0,0,1.96,62.83,0,0,3.93,0.98,0,0.98,19.63,0,0.98,2.94,705.81,0,1.96,0.98,0,0,4.91,0,0,26.5,0.98,0,0.98,0,0
 84-94,0,0,2.12,0,0,121.07,0,2.12,0,38.23,1.06,1.06,1.06,0,0,1.06,22.3,0,1.06,0,367.46,0,0,1.06,0,0,2.12,0,0,18.05,4.25,1.06,2.12,1.06,1.06
 96-106,1.09,0,4.37,3.28,1.09,128.96,0,2.19,0,37.16,3.28,0,2.19,0,2.19,0,10.93,0,0,0,297.25,0,2.19,2.19,0,0,3.28,0,0,9.84,0,0,1.09,2.19,0
108-118,0,0,4.6,0,0,93.45,0,0,0.77,32.17,0.77,0,0.77,0,0.77,0,9.96,0,0.77,0.77,322.47,0,0,0.77,0,0,0.77,0,0,8.43,1.53,0,0,0,0
120,1.96,0,9.8,1.96,0,88.19,1.96,0,0,39.2,0,0,5.88,0,1.96,0,15.68,0,0,0,368.44,0,3.92,0,0,1.96,1.96,0,0,9.8,1.96,0,0,0,0
