stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,lateral.line,mesenchyme,neural,olfactory,otic,pronephros,spinal.cord
 10-12,0,0,0,0,0,0,0,0,12.59,0,0,0,0
 14-21,0,0,0,0,0,5,0,2,2,0,0,5,14
 24-34,0,0,0,0,0,8.21,0,0,0,0.82,0,2.46,5.75
 36-46,0,0,0,0,0,2.42,0,0,2.42,0.81,0,0,4.03
 48-58,0,0,0.57,0,0,1.72,0,0,0,2.3,0,0,2.87
 60-70,0,0,0,0,0,2.94,0,0,0.98,0,0,0,1.96
 72-82,0,0,0,0,0.98,2.94,0,0,1.96,0.98,0,0,0.98
 84-94,1.06,0,2.12,0,1.06,4.25,0,0,1.06,0,0,0,3.19
 96-106,0,0,0,1.09,0,2.19,0,0,1.09,0,1.09,0,2.19
108-118,0,0.77,1.53,3.83,0,0.77,0.77,0.77,0,1.53,0,0,2.3
120,0,0,0,3.92,0,0,0,0,1.96,0,1.96,1.96,1.96
