stage,blastomeres,epidermis,eye,glial,heart,immune,liver,mesenchyme,muscle,neural,paraxial_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,2.46,0,0.82,2.46,0,0
 36-46,0,0,1.61,0.81,0,0,0,0,0,2.42,0,0,0.81,0,0
 48-58,0,0,1.15,0.57,0,0.57,0,0,0,2.3,0,0,0.57,0.57,0
 60-70,0,0,1.96,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,0,0,0,1.96,0,0,0.98,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,2.19,1.09,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0.77,0.77,0,0,0,0,0
120,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0
