stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,56.65,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.35,31.47,0,0,18.88,0,3.15,0,0,0,22.03,0,0,0,0,0,0
 14-21,1,0,16,754,21,0,30,0,0,0,4,8,3,9,0,2,0,1,0,0,269,3,0,249,141,281,0,48,16,0,28,70,16,331,813,251,0,0,8,0,0
 24-34,0.82,0,23.8,939.06,5.75,0,118.2,15.6,9.85,8.21,24.63,4.1,0,25.45,0.82,0.82,0,9.03,2.46,0.82,632.88,12.31,4.1,320.95,334.09,284.84,3.28,33.66,0,2.46,47.61,2.46,32.01,110.82,306.18,205.21,0,0,84.55,0,0
 36-46,0,0,3.22,539.8,1.61,0,77.34,39.48,27.39,20.95,48.34,7.25,0,29,0.81,1.61,0.81,8.06,2.42,0.81,638.9,9.67,19.34,223.98,229.62,269.9,5.64,25.78,0,1.61,45.12,0.81,19.34,53.98,9.67,150.66,0,0.81,58.01,0,0.81
 48-58,0.57,0,1.15,281.16,0.57,0,82.63,20.08,43.04,20.08,61.4,8.61,0,17.21,1.15,1.15,0.57,5.16,0,1.15,676.52,3.44,33.85,106.73,166.98,185.34,1.72,20.08,0,3.44,100.42,0,9.75,27.54,0,127.38,0,2.87,62.54,0.57,1.72
 60-70,0.98,0,0,252.25,0,0,132.51,16.69,42.21,27.48,141.34,18.65,0,6.87,0.98,1.96,2.94,6.87,0.98,0,1173.9,4.91,55.95,79.5,185.51,137.41,2.94,28.46,0,3.93,53,0,13.74,21.59,0,97.17,0,25.52,54.97,16.69,4.91
 72-82,0,0.98,0.98,291.55,5.89,0.98,191.42,16.69,67.73,51.05,125.65,35.34,0.98,13.74,5.89,0.98,3.93,7.85,5.89,0,1624.65,3.93,53.99,92.28,210.08,90.31,4.91,43.19,0.98,7.85,83.44,0,7.85,14.72,0,72.64,0.98,44.17,126.63,54.97,5.89
 84-94,1.06,0,2.12,574.56,10.62,0,257.01,27.61,122.13,48.85,87.09,67.97,0,7.43,3.19,8.5,3.19,2.12,3.19,2.12,1270.2,14.87,60.54,57.35,112.58,154,4.25,48.85,0,2.12,177.36,0,48.85,22.3,0,69.03,0,47.79,107.27,63.72,2.12
 96-106,2.19,2.19,2.19,770.46,26.23,5.46,278.68,25.14,173.76,37.16,113.66,61.2,0,14.21,7.65,9.84,2.19,6.56,10.93,1.09,1287.37,27.32,43.71,57.92,205.46,128.96,5.46,90.71,0,13.11,315.83,0,41.53,19.67,0,84.15,2.19,71.04,159.56,73.22,0
108-118,3.83,0.77,3.83,496.34,7.66,3.06,211.41,22.21,121.02,45.96,78.13,58.98,0,6.89,5.36,4.6,3.06,1.53,6.13,1.53,1167.33,3.83,29.11,52.85,176.17,147.83,3.06,81.96,0,9.19,174.64,0,39.83,24.51,0,44.43,1.53,49.02,130.98,41.36,2.3
120,3.92,0,0,329.24,7.84,5.88,84.27,21.56,74.47,21.56,48.99,31.36,1.96,5.88,0,3.92,1.96,5.88,3.92,0,938.74,3.92,15.68,56.83,146.98,250.85,1.96,74.47,0,11.76,119.55,0,19.6,11.76,0,52.91,0,50.95,127.39,35.28,1.96
