stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,1,0,0,1,0,1,0,1,5,0,1,0,10,0,0,0,0,1,1,0,2,5,1,1,0,1,0,1,0,2,30,0,1,5,0,0,0,0,0
 24-34,0,11.49,4.1,0,0,4.1,0,0,0,0.82,5.75,0,0,0,18.06,0,0,1.64,0.82,2.46,0,0,2.46,50.07,1.64,0,0,0,0,0,0,0,82.91,0,0.82,10.67,0,0,0.82,0,0
 36-46,0,1.61,0,0,0,4.03,0,0,1.61,0.81,4.83,0,0,0,4.03,0,0,1.61,0,6.45,0.81,0,0.81,48.34,0,0,0,0,0,2.42,0,0,49.15,0.81,0,3.22,0,0,0,0,0
 48-58,0,1.15,2.3,0,0,8.03,0,0,0.57,1.72,2.3,1.15,0,0,1.15,0,0.57,0.57,0,2.3,0,0,0,36.72,0.57,0,0,0,0,1.15,0,0,26.97,0,0,8.03,0,0,0.57,0,0.57
 60-70,0,0.98,1.96,0,0,7.85,0,0,0,0.98,6.87,0,0,0,3.93,0,0,2.94,0,4.91,0,0.98,0,32.39,0,0,0,0,0.98,0,0,0,26.5,0,0,0.98,1.96,0,0,0,0
 72-82,1.96,0.98,2.94,0.98,0,7.85,0,0,0,6.87,22.58,0,0,0.98,8.83,0,0,0.98,0,11.78,0.98,0,0,49.08,0,0,0,0,0,1.96,0,0,63.81,0,0,2.94,1.96,0.98,0,0.98,0.98
 84-94,2.12,0,3.19,1.06,0,5.31,0,2.12,0,0,52.04,0,0,2.12,5.31,1.06,0,6.37,0,9.56,0,1.06,0,21.24,0,0,0,0,0,1.06,1.06,0,134.88,0,0,1.06,11.68,0,2.12,0,0
 96-106,3.28,0,7.65,0,1.09,9.84,1.09,0,0,4.37,88.52,0,0,0,7.65,1.09,0,6.56,1.09,8.74,0,1.09,2.19,26.23,0,1.09,0,0,0,3.28,0,0,153,0,0,0,18.58,1.09,4.37,0,0
108-118,3.83,2.3,3.83,1.53,0.77,7.66,0,0,0,3.06,120.26,0,0,0,9.19,0,0.77,7.66,0,2.3,1.53,0.77,1.53,18.38,0,0,1.53,0,0,5.36,0,0,136.34,0.77,0,0.77,33.7,0.77,0.77,0,0.77
120,0,3.92,7.84,0,0,7.84,0,0,0,1.96,54.87,0,0,3.92,9.8,0,0,9.8,0,7.84,1.96,0,0,23.52,0,0,0,0,0,1.96,0,0,76.43,0,0,1.96,5.88,1.96,1.96,0,0
