stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1673.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,1078.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,31.54,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,1,2,3,4,10,0,0,1,0,0
 24-34,0,0,0.82,0.82,1.64,0,7.39,0,1.64,0.82,0,0,0,0,0.82,0.82,0,0,0,0.82,1.64,0,0,3.28,32.01,1.64,2.46,0.82,0,0,0,0,1.64,0,1.64,13.13,0,0,3.28,0,0
 36-46,0,0,0,2.42,0,0,5.64,2.42,0,0,3.22,0,0,0,0,0,0,0,0,0,4.03,0,0,2.42,46.73,1.61,0.81,0.81,0,0,0,0,0.81,0.81,0,12.09,0,0,1.61,0,0
 48-58,0,0,0,1.72,0.57,0,13.2,1.72,1.15,0,9.75,0.57,0.57,0.57,0.57,0,0,0,0.57,2.87,12.05,0,0,1.15,63.12,0,0.57,0.57,0,0,0,0,0,0.57,0,22.38,0,0,4.59,0,2.87
 60-70,0,0,0,0.98,1.96,0,38.28,1.96,0,0,15.7,1.96,0,0,1.96,0,0,0.98,0.98,0,25.52,0,0,3.93,124.65,2.94,2.94,0,0,0,3.93,0,0,0.98,0,21.59,0,0,3.93,0.98,2.94
 72-82,0,0,0.98,3.93,10.8,0,114.85,0.98,1.96,1.96,17.67,1.96,0,0,1.96,0,0.98,0,0.98,0.98,37.3,1.96,0.98,5.89,160.99,0,4.91,8.83,0,0,0.98,0,0,0.98,0,24.54,0,0.98,13.74,0,1.96
 84-94,0,0,1.06,6.37,5.31,1.06,76.47,0,2.12,2.12,14.87,0,0,1.06,6.37,2.12,0,1.06,2.12,5.31,23.36,2.12,3.19,5.31,72.22,0,4.25,6.37,0,0,11.68,0,4.25,0,0,7.43,1.06,1.06,4.25,1.06,1.06
 96-106,0,0,2.19,7.65,4.37,1.09,116.93,3.28,3.28,4.37,16.39,0,0,2.19,2.19,0,3.28,1.09,2.19,0,28.41,3.28,1.09,2.19,101.63,1.09,9.84,13.11,0,0,12.02,0,3.28,1.09,0,8.74,0,0,8.74,3.28,4.37
108-118,0,0,0.77,7.66,3.06,3.06,68.17,0.77,3.06,3.06,15.32,3.06,0,0,0.77,4.6,3.06,0.77,4.6,2.3,13.79,2.3,0,3.83,72.77,0.77,6.13,4.6,0,0.77,4.6,0,6.13,3.83,0,3.83,0,1.53,4.6,0,3.83
120,0,0,0,13.72,1.96,0,62.71,1.96,1.96,0,13.72,3.92,0,0,0,1.96,0,1.96,5.88,0,7.84,1.96,0,5.88,97.99,0,1.96,19.6,0,0,0,0,3.92,0,0,0,0,0,1.96,1.96,0
