stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,4,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,0,0,1.64,0,0,45.15,0.82,0,0,0.82,0.82,13.95,0,0
 36-46,0,2.42,0,5.64,0,0.81,0,0,0,0,0,0.81,0,0,123.27,0,0.81,0,0.81,0,22.56,0,0
 48-58,0,0,0,16.07,0,4.02,0,0,0,0,0.57,1.15,0,0,192.8,0,0.57,0,0,0,22.95,0,0
 60-70,0,0.98,0,48.09,0,4.91,0.98,0,0,0.98,0,0.98,0.98,0,306.23,0,0,0,0.98,0,22.58,0,0
 72-82,0,0,1.96,76.57,0,7.85,0,0.98,0,0,0,2.94,0,0,289.59,0,0,0.98,0,0,11.78,0,0.98
 84-94,1.06,2.12,0,43.54,0,3.19,0,0,0,0,0,2.12,0,0,121.07,0,0,1.06,2.12,0,9.56,0,1.06
 96-106,0,0,0,42.62,0,4.37,1.09,0,1.09,0,0,3.28,1.09,1.09,71.04,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,26.04,0.77,6.13,0,0.77,0,0,0,1.53,0,0,100.34,0,0,0,0,0,3.06,0,0
120,0,1.96,0,13.72,0,5.88,1.96,0,1.96,0,0,7.84,0,0,164.62,0,0,0,1.96,0,3.92,3.92,0
