stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1225.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,5.26,0,2.63,0,21.03,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,170.87,2.63,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,0,0,22.03,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,147.91,9.44,0,0,97.56,0,0,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,3,27,9,0,15,0,0,0,12,0,0,1,0,0,0,0,1,0,18,0,0,19,214,20,2,3,11,0,1,0,55,0,8,77,106,0,0,0,0
 24-34,0,0,0,4.1,9.03,0,0,48.43,0.82,0,2.46,16.42,0,0,0,0.82,0,0,1.64,0.82,1.64,38.58,0,0.82,17.24,253.64,2.46,18.88,5.75,0,0,0.82,0,0.82,1.64,3.28,24.63,96.04,0,4.1,0,0.82
 36-46,0,0,0.81,0,4.83,0,0,39.48,0,0,0.81,10.47,0,0,0.81,1.61,0,0,0.81,0.81,0.81,27.39,0,1.61,15.31,174.83,0,18.53,0.81,0,0,2.42,0,0,1.61,0,0,54.79,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,0,30.99,0.57,0.57,0,17.79,0.57,0,0,0.57,0,0,0,0,0,17.79,1.15,2.87,8.03,102.14,1.72,17.79,1.72,0,0,0.57,0,0,1.15,1.15,0,48.2,0,1.15,0,0.57
 60-70,0,0,0,0,2.94,0,0,64.78,0,0,0,32.39,0,0,0,1.96,0,0,0,0,0,14.72,0,1.96,6.87,67.73,1.96,20.61,1.96,0,0,0,0,0,0.98,0,0,37.3,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,127.62,0,0,0,49.08,0,0,0,5.89,0,0,0,0,0,19.63,0.98,1.96,2.94,56.94,0.98,44.17,5.89,0,0,0,0,0,1.96,0,0,21.6,0.98,0,0,0.98
 84-94,0,0,0,1.06,3.19,0,1.06,112.58,0,0,1.06,31.86,0,1.06,0,1.06,0,0,0,1.06,0,13.81,0,1.06,3.19,33.99,1.06,26.55,14.87,0,0,2.12,0,0,2.12,0,0,18.05,0,0,0,1.06
 96-106,0,0,0,1.09,5.46,0,0,131.14,2.19,0,1.09,32.79,2.19,0,0,4.37,1.09,1.09,5.46,0,0,17.49,1.09,0,3.28,48.09,1.09,61.2,12.02,0,0,2.19,1.09,0,6.56,0,0,13.11,0,0,0,0
108-118,0.77,0,0,1.53,3.83,1.53,0,90.38,1.53,0,2.3,32.94,0.77,0,0,2.3,0,0,3.83,0,0,18.38,0,2.3,3.06,36.77,2.3,38.3,9.19,0,0.77,0.77,0,0,3.06,0,0,10.72,0,0,0.77,0
120,0,0,0,0,5.88,0,0,82.31,3.92,0,0,17.64,0,0,0,1.96,1.96,0,0,0,0,11.76,0,0,3.92,33.32,1.96,31.36,5.88,0,0,0,0,0,1.96,0,0,13.72,0,0,1.96,0
