stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,10.51,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,72.38,9.44,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,8,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,4,0,0,1,46,5,3,0,0,0,7,0,4,0,3,31,0,0,2,0,1
 24-34,0,0,0.82,0,9.03,0,0,6.57,0,2.46,0,1.64,0,0,1.64,0,0.82,0,2.46,0.82,3.28,13.95,0,0,4.93,187.16,4.1,11.49,0.82,0,0,23.8,0,1.64,0,1.64,67.31,0,0,7.39,0,2.46
 36-46,0,0,0.81,0,4.03,0,0,38.67,0,0,2.42,8.86,0.81,0,0.81,0,1.61,1.61,0,0,9.67,21.75,0,0.81,5.64,626.81,1.61,10.47,0,0,0,24.17,0,0.81,0,0,153.08,0,0,7.25,0,2.42
 48-58,0,0,0.57,0,2.87,0,0,120.5,0.57,1.72,1.72,33.85,0,0,0,1.15,0,5.16,0,0,4.59,32.71,0.57,1.15,4.59,687.99,1.72,3.44,0,0,0.57,10.9,0,0.57,0,0,156.65,0,0.57,5.16,0,6.89
 60-70,0,0,0,0,5.89,0,0,240.47,0.98,0.98,1.96,52.02,0,0,0,1.96,0,6.87,0,0,3.93,52.02,0,1.96,4.91,891.22,1.96,4.91,0,0,0,20.61,0,0.98,0,0,166.86,0,0.98,3.93,0.98,9.82
 72-82,0,0,0.98,0,9.82,2.94,0,251.31,0,0.98,6.87,104.06,2.94,0,1.96,1.96,0.98,3.93,0.98,0.98,2.94,80.5,0.98,1.96,5.89,733.3,0,7.85,3.93,0,0,23.56,0,0,0,0,89.33,2.94,3.93,12.76,2.94,4.91
 84-94,0,0,0,0,23.36,1.06,1.06,151.87,0,3.19,2.12,54.16,1.06,0,2.12,8.5,3.19,11.68,0,1.06,9.56,48.85,0,4.25,4.25,347.29,1.06,5.31,3.19,0,0,44.61,0,0,0,0,47.79,2.12,3.19,12.74,3.19,4.25
 96-106,0,0,1.09,0,21.86,5.46,0,147.53,3.28,1.09,1.09,81.96,3.28,0,2.19,6.56,1.09,16.39,5.46,3.28,4.37,67.76,2.19,1.09,4.37,322.39,1.09,12.02,6.56,0,2.19,44.81,0,2.19,0,0,28.41,2.19,2.19,9.84,2.19,10.93
108-118,0,0,0,0,18.38,3.06,0,108,1.53,7.66,5.36,60.51,7.66,0,0.77,4.6,2.3,21.45,0.77,0.77,6.89,38.3,0.77,1.53,6.89,336.26,2.3,6.89,4.6,0,1.53,58.98,0,2.3,0.77,0,22.21,1.53,1.53,9.19,1.53,9.19
120,0,0,0,0,7.84,5.88,0,88.19,0,9.8,0,80.35,7.84,0,0,5.88,3.92,15.68,1.96,0,0,43.12,0,0,1.96,352.76,3.92,1.96,1.96,0,0,50.95,0,0,0,0,13.72,1.96,0,7.84,1.96,9.8
