stage,erythrocytes,eye,glial,heart,immune,iridophores,mesenchyme,muscle,neural,otic,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0.81,0,0,0
 48-58,0,0,0,1.15,0.57,0.57,1.72,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,1.96,0.98,5.89,0.98,0,0,0,0.98,0.98,0
 72-82,0,0,0.98,0.98,1.96,0,6.87,0,0,0,0,0,1.96,0
 84-94,0,1.06,0,0,6.37,2.12,7.43,2.12,0,1.06,0,0,2.12,0
 96-106,1.09,0,0,0,5.46,0,15.3,0,2.19,0,0,0,2.19,0
108-118,0,0,0,0.77,6.13,0.77,13.02,0.77,1.53,0.77,0,0,1.53,1.53
120,0,0,0,0,9.8,0,7.84,0,0,0,0,0,3.92,0
