stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,24.52,502.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,5.26,23.66,0,23.66,0,0,0,42.06,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,265.5,5.26,0,0,105.15,0,2.63,5.26,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,0,0,37.76,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,264.35,25.18,0,0,88.12,0,0,9.44,3.15,9.44,0,0,3.15,0,0,0
 14-21,0,0,0,5,37,18,0,18,0,0,0,6,0,0,0,0,2,0,0,0,0,20,0,0,14,171,5,1,3,7,0,7,1,33,3,3,56,71,0,0,0
 24-34,0,0,0,0.82,10.67,3.28,0,27.91,0,0.82,0,3.28,0,0,0,0.82,0.82,0,0.82,1.64,0,10.67,0,0.82,9.03,152.68,0.82,0.82,0.82,0,0,4.93,0,0,0.82,0,3.28,34.48,0.82,0,0.82
 36-46,0,0,0,0,4.83,0.81,0,34.64,0.81,0.81,0,8.86,0,0,0,0,0,1.61,0,0.81,1.61,17.72,0,0.81,2.42,145.02,0.81,0.81,0,0,0,5.64,0,0,0,0.81,0,34.64,0,0,0.81
 48-58,0,0,0,0,4.02,0,0,59.68,0,0,0,6.89,0.57,0.57,0.57,0,0.57,0,0,0,0.57,12.05,0,1.15,5.16,121.65,1.15,0,1.15,0,0,4.02,0,0,0.57,0,0,17.21,2.3,0,0.57
 60-70,0,0,0,0,2.94,0.98,0,63.8,0,0.98,1.96,21.59,0,0,0,0,0,0,0.98,0.98,0,21.59,0,0,8.83,139.38,0,0.98,0,0,0,2.94,0,0,1.96,0,0,10.8,0.98,0,1.96
 72-82,0,0,0.98,0,4.91,2.94,0,69.7,0,0.98,0,16.69,1.96,0,1.96,1.96,0.98,0,0,0,0,41.23,0,0.98,8.83,116.82,0,1.96,3.93,0,0,5.89,0,0,0.98,0,0,6.87,4.91,1.96,0
 84-94,0,0,0,0,8.5,1.06,0,41.42,0,1.06,3.19,13.81,1.06,0,0,3.19,3.19,0,0,1.06,1.06,24.43,1.06,0,8.5,69.03,2.12,0,1.06,0,1.06,14.87,0,0,0,0,0,3.19,6.37,1.06,0
 96-106,0,0,0,0,9.84,2.19,0,27.32,1.09,0,3.28,18.58,2.19,0,1.09,3.28,1.09,3.28,1.09,1.09,2.19,36.06,0,1.09,6.56,92.89,1.09,0,1.09,0,0,17.49,0,0,0,0,0,4.37,1.09,0,0
108-118,0,0,0,0.77,9.96,0.77,3.06,23.74,0.77,3.06,1.53,21.45,1.53,0,0.77,5.36,2.3,0,0,0.77,0,29.87,0,1.53,6.13,66.64,2.3,2.3,2.3,0,0,23.74,0.77,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,29.4,11.76,0,9.8,1.96,1.96,0,23.52,3.92,0,0,5.88,1.96,1.96,1.96,1.96,0,35.28,1.96,3.92,11.76,68.59,0,1.96,0,0,0,17.64,0,0,0,3.92,0,3.92,3.92,1.96,0
