stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,1,0,1,1,12,0,0,4,0,0
 24-34,0,0,1.64,0.82,0,0.82,0,0,0,0,0,0,0,2.46,0.82,0,4.93,97.68,30.37,0,0,0,0,1.64,44.33,0,0,10.67,0,0
 36-46,0,0,0,7.25,0,0,0.81,2.42,0,0,0,0,0,0.81,0,0,0.81,239.28,31.42,0,0,0.81,0,0,50.76,0,0,2.42,0,0
 48-58,0,0.57,0,13.77,0,0,0.57,1.72,0,0,0,0,0,6.31,0,0,0.57,245.59,13.77,0,0,0,0,0,43.04,0,0,1.72,0,0
 60-70,0,0,0,32.39,0,0,0,7.85,0.98,0.98,0,0,0,6.87,0,0.98,0,448.56,22.58,0,0,0,0,0,38.28,0,0.98,1.96,0,0
 72-82,0,0.98,1.96,30.43,0.98,0,0.98,9.82,0.98,0,0,0,0.98,9.82,0,0,0,271.92,20.61,0.98,0,0,0,0,15.71,0,0,4.91,1.96,0
 84-94,0,3.19,0,26.55,0,0,0,9.56,0,0,1.06,0,0,5.31,0,1.06,0,145.5,13.81,1.06,0,0,0,0,14.87,0,0,3.19,1.06,0
 96-106,0,1.09,0,14.21,0,1.09,0,5.46,0,0,0,1.09,1.09,5.46,0,0,0,99.45,20.76,1.09,0,0,0,0,5.46,0,0,0,2.19,1.09
108-118,0,1.53,0,16.85,0,0,0,6.13,0,0,0,0,0,5.36,0.77,0,0,124.85,10.72,0,0,0,0,0,1.53,0.77,0,0.77,0.77,0
120,0,0,1.96,15.68,0,0,0,3.92,0,0,0,0,0,1.96,0,1.96,0,131.31,17.64,0,0,1.96,0,0,1.96,0,0,1.96,0,0
