stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,15,0,0,0,0,0,0,1,23,31,0,0,49,36,0,0,0
 24-34,0,0,0.82,0.82,0.82,9.03,0,0,0,0,0,0,0,18.88,44.33,0,0,23.8,22.16,0,0,0
 36-46,0,0,0,0,0,2.42,0,0.81,0,0.81,0.81,0,0,20.14,24.17,0,0,9.67,11.28,0,0,0
 48-58,0,0,0,1.72,0,3.44,0,0,0,0,0.57,0,0,10.33,11.48,0.57,0,2.3,8.03,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0,5.89,9.82,0,0,1.96,10.8,0,0,0
 72-82,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,2.94,16.69,0,0,2.94,5.89,0,0,0.98
 84-94,0,0,1.06,2.12,0,3.19,0,0,0,0,0,0,0,4.25,22.3,2.12,0,5.31,7.43,0,0,0
 96-106,0,1.09,1.09,1.09,0,0,1.09,0,1.09,0,0,0,0,3.28,26.23,4.37,1.09,4.37,4.37,0,1.09,0
108-118,0,1.53,0,0.77,0,2.3,0,0,0,0,0,0,0,3.83,23.74,2.3,0,3.83,4.6,0.77,0,0
120,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,9.8,13.72,0,0,3.92,0,0,0,0
