stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,2,0,0
 24-34,0,0,0,0.82,4.1,0,7.39,13.13,0,0,0,0,1.64,0,0,0,0.82,13.13,0,0.82,0,0,0,0.82,3.28,0,1.64
 36-46,0,0,0,0,0,0,2.42,3.22,0,0,0.81,0,0,0,0,0.81,0.81,4.83,0,0.81,0,0,0,0,0.81,0.81,0
 48-58,0,0,0,0,0,0,3.44,4.59,0.57,0.57,0.57,0.57,1.15,0.57,0,0.57,0.57,5.16,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,3.93,0,0,0,0,2.94,0,0,0.98,1.96,0,1.96,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0.98,3.93,0,0,0,0,3.93,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,1.06,2.12,0,0,1.06,0,0,3.19,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,4.37,1.09,0,0,0,1.09,4.37,1.09,0,4.37,0,0,2.19,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,0,4.6,3.06,0,0,0,0.77,0,0,0,2.3,0.77,0.77,4.6,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
