stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,23.66,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,15,14,0,13,0,0,0,5,1,0,0,0,1,0,0,0,0,7,0,0,3,48,3,17,1,2,0,1,0,7,3,0,4,31,0,0,1,0,0
 24-34,0,0.82,0,9.03,4.93,0,9.03,0,4.1,3.28,4.1,0,0,0,0.82,1.64,0,0,0,0,10.67,0,0,1.64,39.4,0,107.53,0.82,0,0,0.82,0,0,0,0,2.46,35.3,0,0,0.82,0,0
 36-46,0,0,0,2.42,6.45,0,11.28,0,0,0,7.25,1.61,0,0,0,0.81,0.81,0,0,0,13.7,0,0,6.45,47.53,0.81,127.3,0.81,0,0,2.42,0,0,1.61,0,0,36.26,0,0,0,0,0
 48-58,0,0,0,0.57,21.8,0,16.64,0,1.15,0.57,11.48,0,4.59,1.15,0,0,1.15,0.57,0,0,13.77,0,0.57,2.3,59.1,0.57,90.09,0.57,0.57,0,2.87,0,0,0,0,0,31.56,0,0,1.15,0,1.15
 60-70,0,0.98,0,1.96,36.32,0,29.45,0.98,0,0.98,19.63,0.98,0.98,0,0,2.94,0,0,0,0,13.74,0.98,1.96,0.98,198.27,0,86.37,1.96,0,0,2.94,0,0,0,0,0,36.32,0.98,0,2.94,0.98,0
 72-82,0,2.94,0,7.85,91.29,0,103.07,0,0,2.94,37.3,4.91,0,0,2.94,0,0.98,0,2.94,0,48.1,0,1.96,2.94,371.07,0,155.1,2.94,0,0.98,3.93,0,0,0,0,0,42.21,1.96,0.98,1.96,2.94,0.98
 84-94,0,0,0,13.81,65.85,0,77.53,0,3.19,3.19,11.68,2.12,0,0,2.12,2.12,3.19,2.12,0,0,28.68,0,4.25,4.25,184.79,0,185.86,3.19,0,1.06,11.68,0,0,0,0,0,25.49,0,1.06,1.06,4.25,0
 96-106,0,2.19,0,17.49,41.53,0,75.41,0,3.28,1.09,31.69,2.19,0,0,6.56,2.19,3.28,2.19,4.37,0,29.51,0,1.09,5.46,209.83,1.09,280.86,3.28,0,3.28,8.74,0,0,0,0,0,24.04,3.28,0,4.37,5.46,1.09
108-118,0,1.53,0.77,14.55,30.64,1.53,44.43,0.77,3.06,1.53,19.15,6.89,0,0,3.83,5.36,5.36,1.53,1.53,0.77,23.74,0,4.6,3.06,268.85,0,189.96,0.77,0,0,12.26,0,0,0.77,0.77,0,16.85,3.06,0.77,1.53,1.53,2.3
120,0,0,0,13.72,39.2,0,52.91,1.96,1.96,0,9.8,5.88,1.96,0,0,1.96,1.96,0,5.88,0,25.48,0,1.96,3.92,233.21,0,127.39,1.96,0,0,1.96,0,0,1.96,0,0,19.6,0,0,3.92,3.92,0
