stage,axial,endoderm,epidermis,eye,glial,iridophores,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,2.63,0
 10-12,0,6.29,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,1.64,4.1,0,0,1.64
 36-46,0,0,0,0.81,0,0,0.81,4.03,0,0,0
 48-58,0,0,0,0,0.57,0,0,2.3,0,0,0
 60-70,0,0,0,0.98,0,0,0,1.96,0,0,0
 72-82,0,0,0.98,0.98,0,0,0.98,3.93,0,0,0
 84-94,0,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,0,0,0,3.28,0,0,0
108-118,0,0,0,0,0,0.77,1.53,1.53,0,0,1.53
120,0,0,0,0,1.96,0,3.92,3.92,1.96,0,0
