stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,3.28,0,0,0,0,0,0,0.82,0,4.1,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0,2.42,0,0,0,0,0,0,0,0.81,0,4.83,0
 48-58,0,0.57,0,0,0,1.15,0,0,0.57,0,1.15,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,6.87,0,0,0,1.96,0,0,0,0,0.98,0,0,0.98,1.96,0
 72-82,0,0,0,5.89,0,0.98,0.98,0,0,0,22.58,0,0,0,10.8,0,0,0,0,0,0,1.96,1.96,8.83,0
 84-94,0,0,1.06,1.06,1.06,1.06,0,0,1.06,1.06,11.68,0,0,0,1.06,1.06,0,0,0,1.06,0,0,2.12,4.25,1.06
 96-106,0,0,0,4.37,0,1.09,1.09,0,2.19,0,19.67,0,1.09,1.09,5.46,0,1.09,0,1.09,0,1.09,0,1.09,9.84,2.19
108-118,0,0,0.77,0.77,0,0.77,0,0,2.3,0,19.92,0,1.53,0,5.36,0,0,0,0.77,0.77,0,0,0,7.66,0
120,0,1.96,0,0,0,1.96,0,0,3.92,0,1.96,1.96,0,0,5.88,0,0,0,0,1.96,0,0,0,3.92,0
