stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,3,25,18,0,0,0,0,0,0,1,3,0,2,0,0,0,1,94,0,0,73,31,30,3,0,0,0,0,4,0,1,26,13,0,0,11,0,0
 24-34,0,0,3.28,2.46,13.13,1.64,0,0,0,0,0,0.82,0,6.57,4.1,2.46,0,0.82,0,0,215.06,0,0,114.92,48.43,0.82,29.55,0,0,0.82,0.82,0,0,0.82,3.28,23.8,0,0,56.64,0,0
 36-46,0,0,0,0,9.67,0,0,3.22,0.81,1.61,4.03,0,0,10.47,3.22,2.42,0,3.22,0,0,436.67,0,4.83,156.3,78.96,0,44.31,0.81,0,0,0,0.81,0,0,0,16.11,0,0.81,54.79,0,0
 48-58,0.57,0,1.15,0,7.46,0,0,6.89,1.72,2.87,17.21,0.57,0,6.31,14.35,1.72,0.57,4.02,0.57,0,572.08,0,8.61,121.65,92.96,0,28.12,1.72,0,1.15,1.15,0,0,0,0,22.38,0,1.15,48.77,0,0
 60-70,0.98,0,2.94,0,23.56,1.96,0,12.76,1.96,7.85,44.17,3.93,0.98,7.85,11.78,11.78,0,6.87,1.96,0.98,1324.07,0,16.69,147.23,247.34,0.98,43.19,7.85,0.98,3.93,0,0,0.98,0.98,0,45.15,0,19.63,91.28,6.87,0
 72-82,0,0,15.71,0,29.45,1.96,5.89,87.37,3.93,5.89,68.72,16.69,11.78,21.6,22.58,14.72,0.98,8.83,0,0,1585.38,0.98,33.38,162.96,234.62,0,74.61,22.58,0,4.91,4.91,0,0,0.98,0,33.38,1.96,19.63,158.05,20.61,0
 84-94,0,0,4.25,0,60.54,0,6.37,121.07,4.25,22.3,54.16,19.12,8.5,19.12,32.92,24.43,0,6.37,2.12,1.06,1248.96,0,27.61,131.69,128.51,3.19,78.59,13.81,0,5.31,2.12,0,1.06,0,0,22.3,1.06,33.99,155.06,16.99,0
 96-106,0,0,10.93,0,101.63,1.09,5.46,80.87,18.58,53.55,52.46,25.14,16.39,33.88,42.62,40.44,1.09,6.56,1.09,1.09,1281.91,3.28,43.71,151.91,226.22,2.19,139.88,25.14,1.09,15.3,3.28,0,3.28,2.19,0,18.58,1.09,25.14,190.16,31.69,1.09
108-118,0.77,0,6.13,0,93.45,0,13.02,47.49,25.28,58.98,52.09,16.85,12.26,20.68,22.98,29.87,3.06,3.06,1.53,0,1428.52,0.77,27.57,160.85,216,0.77,84.26,28.34,0,23.74,3.06,0,2.3,2.3,0,11.49,0.77,19.92,167.75,24.51,0.77
120,0,0,5.88,0,60.75,1.96,15.68,29.4,19.6,37.24,31.36,3.92,17.64,15.68,23.52,15.68,0,1.96,1.96,0,854.47,1.96,15.68,117.59,123.47,3.92,43.12,11.76,0,19.6,3.92,1.96,3.92,5.88,0,15.68,1.96,19.6,105.83,29.4,0
