stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,neural,paraxial_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 36-46,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,18.36,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0.57,0,0,0
 60-70,0,0,120.73,0,0.98,0,0,0,0,0,0,0,0,5.89,0,0,0.98,0,0,0
 72-82,0,0,241.49,0.98,0.98,0,0,0,0,0.98,0,2.94,0,4.91,0,0,0,0.98,0,0
 84-94,0,0,261.26,0,0,1.06,0,0,0,1.06,0,2.12,0,5.31,0,0,1.06,0,0,0
 96-106,0,1.09,243.7,0,1.09,0,0,0,0,0,1.09,4.37,1.09,4.37,0,0,0,0,1.09,0
108-118,0.77,0,166.21,0,0.77,0,0,0.77,0.77,0,0,1.53,0,2.3,0,0,0,0.77,0,0.77
120,3.92,0,145.02,0,0,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,0
