stage,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,6,0
 24-34,0,0.82,0,0,1.64,0,0,0,0,0,0,2.46,0.82,0.82,0,0,3.28,11.49,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,4.83,1.61,0,0,0,3.22,8.86,0
 48-58,0,0,0,1.15,6.31,0,0,0,0.57,0,0,2.3,1.15,0.57,0,0,0.57,11.48,0
 60-70,0,0,0,0,2.94,0,0,0,0,0.98,0,0,2.94,0,0,0,0,3.93,0
 72-82,0,0,0.98,0,1.96,0,0,0,0,0,0,0,2.94,0.98,0.98,0,0.98,1.96,0
 84-94,0,0,0,1.06,2.12,0,0,0,1.06,0,1.06,1.06,2.12,0,1.06,0,2.12,3.19,0
 96-106,0,0,0,2.19,2.19,0,1.09,2.19,2.19,1.09,0,3.28,4.37,0,0,0,0,0,1.09
108-118,0,0,0,1.53,0,0,1.53,0.77,0.77,1.53,0,4.6,3.06,1.53,0,0,0,3.06,0
120,0,0,0,1.96,1.96,0,5.88,0,1.96,0,0,1.96,1.96,0,1.96,0,1.96,1.96,0
