stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0
 48-58,0.57,0,0,0.57,0,0,0,0,1.72,0,2.87,0,0,0,0.57,0,0
 60-70,0.98,0,0,0.98,0,0,0,0,1.96,0,2.94,0,0.98,0,0,0,0
 72-82,0.98,4.91,0,0.98,0,0,0.98,0,2.94,0.98,11.78,0,0,0,0,0,0.98
 84-94,0,6.37,1.06,2.12,0,1.06,1.06,0,2.12,0,2.12,0,1.06,0,0,0,0
 96-106,2.19,16.39,0,1.09,1.09,0,0,1.09,1.09,0,3.28,1.09,1.09,0,0,2.19,0
108-118,2.3,9.19,0,0,0,0,0,0,0.77,0,3.06,0,0,0,0,0,0
120,1.96,3.92,0,1.96,0,3.92,0,0,1.96,1.96,3.92,0,0,0,0,0,0
