stage,epidermis,eye,fast.muscle,fin.epithelia,glial,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,slow.muscle,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,3.28,0.82,0.82,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0.81,0,1.61
 48-58,0.57,1.72,0.57,0,0.57,0,0,0,1.72,0,0,3.44,0,0,0,3.44,0.57
 60-70,0,8.83,0.98,0,0,0,0,0,1.96,0,0.98,1.96,0,0,0,0,0
 72-82,0,23.56,1.96,0,0.98,0,0,0,0,0,0.98,5.89,0,0,0,0,1.96
 84-94,1.06,15.93,6.37,1.06,1.06,1.06,0,0,0,0,0,1.06,0,0,1.06,1.06,0
 96-106,0,18.58,10.93,0,3.28,0,0,1.09,1.09,0,2.19,6.56,0,1.09,0,1.09,0
108-118,0,9.19,5.36,0,0,0,0,0,0.77,0,0,2.3,0,0,0,0.77,0
120,1.96,3.92,7.84,0,0,0,1.96,0,1.96,0,0,1.96,0,0,1.96,0,0
