stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,42,2,0,0,0,0,0,2,17,0,0,0
 24-34,2.46,2.46,1.64,2.46,0,0,0,3.28,0,0.82,0,0.82,0,0,0,3.28,0,0,1.64,97.68,1.64,2.46,0,4.1,0,0,0.82,31.19,0,0.82,0
 36-46,0,0.81,0,11.28,0,0,0.81,9.67,0.81,0.81,0,0,0,0.81,0.81,14.5,0,1.61,4.03,165.16,4.03,2.42,0,10.47,0,0,0,48.34,0,0.81,0
 48-58,0,0,0,8.61,0,0,0,8.03,0,0.57,0,0,0,0,0.57,6.31,0,0,1.72,51.07,0.57,0.57,0,0.57,0,0,0,14.92,0,0.57,0
 60-70,0,0,0,5.89,2.94,0.98,0,11.78,0,0,0,0,0,0,0,20.61,0,0,0.98,22.58,0,0,0.98,1.96,0,0,0,7.85,0,0.98,0
 72-82,0,0.98,0,19.63,0,0,0.98,5.89,0,0,0,0,0.98,0.98,0,20.61,0,0.98,0.98,44.17,1.96,1.96,0.98,2.94,0,0.98,0,1.96,0,1.96,0.98
 84-94,0,2.12,0,16.99,0,0,0,10.62,1.06,0,2.12,0,0,1.06,0,21.24,0,1.06,1.06,31.86,1.06,2.12,1.06,11.68,1.06,0,0,5.31,1.06,2.12,0
 96-106,0,4.37,1.09,12.02,0,1.09,1.09,9.84,0,0,0,0,0,1.09,0,7.65,0,0,0,28.41,0,2.19,2.19,5.46,0,0,0,2.19,0,2.19,0
108-118,0,3.06,0,18.38,0.77,0.77,0,5.36,0.77,0,1.53,0.77,0.77,0,0,9.19,0.77,0,5.36,16.85,1.53,1.53,1.53,4.6,0,0,0,0.77,1.53,0.77,0.77
120,0,3.92,0,0,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,17.64,0,0,0,0,1.96,0,0,0,0,0,0
