stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,0,0,5.26,0,0,0,0
 10-12,3.15,0,0,0,6.29,0,0,0,0,0,0,0,15.73,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
 24-34,0,1.64,0.82,0,0.82,0,1.64,0,0,0,0,0,7.39,0,4.1,0,0,1.64,4.1,0
 36-46,0,0,0.81,0,1.61,0,0.81,0,0.81,0,0,0,12.89,0,1.61,0,0,1.61,4.83,0
 48-58,0,0,0,0,2.87,0,2.87,0,2.87,1.15,0,0,14.35,0,5.16,0,0,0.57,3.44,0
 60-70,0,0,0,0,7.85,0,6.87,0,4.91,0.98,0,0,11.78,0,13.74,0,0,0,0.98,0
 72-82,0,1.96,0,0,7.85,0,7.85,0.98,4.91,2.94,0,0.98,21.6,0,22.58,0,0,0.98,2.94,0
 84-94,0,1.06,0,0,4.25,0,1.06,1.06,7.43,1.06,0,0,10.62,0,28.68,0,0,1.06,2.12,1.06
 96-106,0,1.09,0,0,4.37,0,2.19,0,13.11,3.28,1.09,0,7.65,0,32.79,0,1.09,0,0,0
108-118,0,0,0,0.77,0,0,1.53,0,10.72,0,0.77,0,5.36,0,23.74,0,0.77,0,0.77,0
120,0,0,0,0,1.96,1.96,0,0,7.84,1.96,0,1.96,7.84,0,9.8,0,0,0,0,1.96
