stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,hatching.gland,liver,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord
  3-4,52.71,830.21,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0
  5-6,18.39,312.61,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,0,0
  7-9,5.26,2.63,2.63,0,0,2.63,0,2.63,0,0,60.46,2.63,0,18.4,0,7.89,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,12.59,3.15,0,6.29,0,3.15,3.15,0
 14-21,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,2,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,1.64,1.64,0,0.82,0,1.64,0,0.82,0.82
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
