stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,15.73,9.44,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,2,2,2,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,2,0,0,1,134,1,3,2,0,0,1,12,52,13,91,0,0,4,0,0
 24-34,0,0.82,1.64,2.46,0,0,12.31,14.78,0,0,8.21,3.28,0,0,0,0.82,0,0.82,0,0,16.42,0,0,19.7,642.73,0.82,10.67,0,0,0,0,8.21,29.55,19.7,203.57,0,0,13.13,0,0
 36-46,0,0,0,0.81,0,0,84.6,24.98,0,0,9.67,1.61,0,0.81,0,0,0,0.81,0,4.03,43.51,0,0.81,32.23,1385.75,0,10.47,0,0,0,2.42,4.03,16.92,3.22,321.46,0,0,12.09,0,1.61
 48-58,0,0,0,5.74,0.57,0,179.6,29.26,0.57,1.15,19.51,0.57,0,0,0,0,0,1.15,0,3.44,47.63,0,0,36.72,1253.76,0,7.46,1.15,0,0,2.87,5.74,18.36,0,274.28,0,0,9.18,0,1.15
 60-70,0,0,0,0.98,0,0,233.6,23.56,1.96,0.98,32.39,1.96,0,0,0,0,0,0,0.98,5.89,54.97,0,3.93,23.56,1356.46,0,8.83,4.91,0,0,1.96,5.89,11.78,0,204.16,0,0,16.69,0,3.93
 72-82,0,3.93,0,3.93,0,0,195.35,12.76,0.98,1.96,26.5,5.89,0,1.96,0,0,0,1.96,0,4.91,58.9,0,4.91,25.52,816.74,0.98,15.71,0.98,0.98,0,0,4.91,10.8,0,90.31,0,0.98,19.63,1.96,0
 84-94,0,1.06,0,6.37,2.12,0,163.55,23.36,1.06,0,32.92,5.31,0,0,2.12,0,3.19,2.12,1.06,20.18,63.72,0,1.06,23.36,353.66,0,5.31,1.06,0,1.06,1.06,8.5,8.5,0,46.73,0,1.06,16.99,0,3.19
 96-106,0,0,0,12.02,2.19,0,106.01,25.14,4.37,2.19,29.51,2.19,0,0,2.19,0,4.37,0,1.09,4.37,34.97,0,5.46,12.02,318.02,0,8.74,4.37,2.19,0,3.28,2.19,6.56,0,20.76,1.09,1.09,24.04,2.19,3.28
108-118,0,3.06,0,6.89,1.53,1.53,82.72,25.28,0.77,1.53,15.32,6.89,0,0,2.3,0,6.89,1.53,3.83,5.36,41.36,0,0.77,9.19,337.02,0.77,9.96,3.83,0,0,1.53,1.53,9.96,0,19.92,0.77,0.77,12.26,0.77,1.53
120,0,1.96,0,5.88,0,1.96,70.55,17.64,0,0,25.48,0,0,0,3.92,0,5.88,0,3.92,1.96,39.2,1.96,5.88,19.6,337.08,0,3.92,1.96,0,0,0,0,7.84,0,15.68,1.96,0,13.72,0,0
