stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,527.12,7814.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.8,0,0,0,0,0,0
  5-6,459.72,4480.76,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,91.94,6.13,0,0,30.65,0,153.24,0,0,0,0,0,0
  7-9,78.86,86.75,86.75,0,0,139.32,0,0,0,0,60.46,0,0,0,0,0,0,0,0,1545.68,47.32,0,0,607.23,0,2.63,26.29,0,2.63,0,0,0
 10-12,0,28.32,37.76,0,3.15,59.79,0,0,0,0,12.59,0,0,0,0,0,0,0,0,531.84,22.03,0,0,248.61,0,3.15,9.44,0,25.18,6.29,0,0
 14-21,0,0,0,29,4,7,0,0,2,1,1,0,0,0,0,1,6,0,2,65,4,0,2,3,0,2,1,17,0,10,20,1
 24-34,0,0,0,0.82,0,7.39,0.82,0,0.82,0,0,0,0,0,0,0.82,5.75,0,0.82,50.89,0,0,1.64,0,0,9.85,0,0,0,0.82,9.03,0.82
 36-46,0,0,0,0,0,8.86,0,0,1.61,0,0,0,0,0,0,0,7.25,0.81,0.81,37.87,0,0.81,0,0,0,4.83,0,0,0,0,3.22,0.81
 48-58,0,0,0,1.15,0,13.2,0,0,2.87,0,0,0,0,0,0,0,4.02,0,1.15,46.48,0,0.57,0,0,0,1.15,0,0,0,0,7.46,0
 60-70,0,0,0,0.98,0,12.76,0,0,0,0,0,0,0,0,0,0,3.93,0,0.98,6.87,0.98,0,0,0,0,3.93,0,0,0,0,2.94,0
 72-82,0,0,0,0.98,0,12.76,0,0,0.98,0,0,0.98,0,0.98,0.98,0,6.87,0,0.98,25.52,0,1.96,0.98,0,0.98,0,0,0,0,0,1.96,0.98
 84-94,0,0,0,1.06,0,3.19,0,0,2.12,0,0,0,0,0,0,0,2.12,0,0,11.68,1.06,0,0,0,0,3.19,0,0,0,0,2.12,0
 96-106,0,0,0,1.09,0,6.56,0,0,2.19,1.09,0,0,1.09,0,0,0,5.46,0,0,4.37,0,0,0,0,0,1.09,0,0,0,0,2.19,0
108-118,0,0,0,0.77,0,3.06,0,0,3.06,0,0,0,0,0.77,0,0,4.6,0,0,8.43,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,3.92,9.8,0,0,0,0,0,0,0,0,0,0,0,0
