stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,131.78,2661.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0
  5-6,153.24,2231.19,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,55.17,6.13,0,0,12.26,49.04,0,0,0,0,0,0,0,0
  7-9,10.51,15.77,21.03,0,0,13.14,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,352.25,5.26,0,0,92,2.63,18.4,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,12.59,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,7,3,3,0,0,1,0,0,4,0,0,0,0,3,0,0,3,27,0,1,0,1,3,0,8,0,3,6,0,0,0
 24-34,0,0,0,2.46,0,3.28,0,0,0.82,0,0.82,9.85,0,0,0,0,3.28,0.82,0,1.64,45.15,0,0,0,0,0.82,0,0,0,0,13.95,0,1.64,0
 36-46,0,0,0.81,0.81,0,12.89,0,0,0.81,0.81,0,0.81,0,0,0,0,4.03,0,0,0,47.53,0,0.81,0,0,0,0.81,0,0,0,9.67,0,0.81,0
 48-58,0,0,0,0.57,0,6.31,0,0,3.44,0,0,0,0,0,0.57,0.57,0,0,0,0,36.72,0.57,0,0,0,0,0,0,0,0,5.16,0,0,0
 60-70,0,0,0,0,0,9.82,0.98,0.98,5.89,0,0,0,0,0,0,0,2.94,0,0,0,52.02,0,0.98,0,0,0,0,0,0,0,9.82,0,0,0
 72-82,0,0,0,0,0,11.78,0,0.98,9.82,0,0,0,0,0,0,0,2.94,0,0,0,58.9,0,1.96,1.96,0,0,0,0,0,0,3.93,0.98,0.98,0.98
 84-94,0,0,0,0,0,5.31,0,0,2.12,0,0,0,0,0,0,0,2.12,0,1.06,0,29.74,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,1.09,6.56,0,0,5.46,1.09,0,0,2.19,0,0,0,1.09,0,0,0,32.79,1.09,2.19,1.09,0,0,0,0,1.09,0,4.37,0,0,0
108-118,0,0,0,0.77,0,9.19,0,0,3.83,0.77,0,0,0,0.77,0,0,0.77,0,0,1.53,39.83,0,0.77,0,0,0.77,0,0,0.77,0,0,0,0,0
120,0,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,3.92,37.24,0,0,0,0,0,0,0,0,0,1.96,0,0,0
