stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,39.59,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,10.9,0,0,0,0,0,0,0,0,0,3.44,0,0,0.57,0,0
 60-70,0,0,0,2.94,0,0,586.95,0,1.96,0.98,3.93,0.98,0,0,0.98,0,0,0,0.98,13.74,0,0.98,0,70.67,0,1.96,0,0,0,3.93,0,0,0,12.76,0,0.98,1.96,0,4.91
 72-82,0,0,0.98,17.67,16.69,0.98,1100.44,3.93,2.94,7.85,53.99,2.94,0,4.91,1.96,1.96,1.96,3.93,0,104.06,1.96,4.91,6.87,278.79,0,5.89,6.87,0,0.98,17.67,0,0.98,0,21.6,3.93,3.93,9.82,0,10.8
 84-94,0,0,1.06,26.55,12.74,1.06,1158.68,2.12,1.06,3.19,23.36,3.19,1.06,4.25,2.12,2.12,2.12,2.12,0,50.98,2.12,1.06,5.31,114.7,2.12,2.12,0,0,1.06,25.49,0,0,0,8.5,3.19,4.25,9.56,4.25,4.25
 96-106,0,0,1.09,20.76,13.11,2.19,893.95,2.19,4.37,1.09,28.41,4.37,0,4.37,0,6.56,2.19,2.19,1.09,53.55,1.09,0,5.46,121.31,1.09,2.19,4.37,0,0,30.6,1.09,1.09,2.19,6.56,1.09,2.19,5.46,2.19,3.28
108-118,1.53,0,0,19.15,8.43,1.53,657.2,0,3.06,3.06,28.34,3.83,0,2.3,5.36,0.77,0.77,1.53,1.53,57.45,0,4.6,8.43,176.17,2.3,3.06,2.3,0,0.77,12.26,0,0,0,3.06,0.77,1.53,5.36,2.3,2.3
120,0,0,0,21.56,13.72,1.96,801.55,1.96,1.96,1.96,11.76,0,0,1.96,1.96,1.96,0,0,0,33.32,0,1.96,1.96,168.54,1.96,0,5.88,0,0,15.68,0,1.96,0,1.96,0,5.88,3.92,1.96,0
