stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,1752.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,1097.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,15.77,0,23.66,0,2.63,15.77,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,381.16,10.51,0,0,252.36,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,22.03,0,0,119.58,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,5,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,5,41,393,0,1,9,0,2,0,15,0,0,6,25,0,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,45.15,0,0,0,0.82,0,0,0.82,0,1.64,0,0,0,0,9.85,0,0,3.28,77.16,258.57,1.64,0.82,0,0,3.28,0,0,0,0,2.46,18.06,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,55.59,0,0,0,1.61,0,0,0,0,0,0,0,0,0,7.25,0,0,0.81,57.2,207.86,0.81,1.61,0,0,1.61,0,0,0,0,0,8.86,0,0,2.42,0,0
 48-58,0.57,0,0,0,1.15,0,90.09,0,0,0.57,4.59,0,0,0,0,0,0,0,0,0,9.18,0,0,0.57,55.09,76.32,0,0,0,0,0.57,0,0,0,0,0,6.89,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,189.43,0,0,0,53,0,0,0.98,0.98,0,0.98,0.98,0,0,8.83,0,0.98,0.98,59.87,44.17,0,0,0,0,2.94,0,0,0.98,0,0,8.83,0.98,0,0,0,0
 72-82,0,0,0,0.98,1.96,0.98,265.05,0,0,0,205.17,1.96,0,0.98,0,0.98,8.83,0.98,0,0,31.41,0,0.98,1.96,102.09,31.41,0.98,0.98,0,0,1.96,0,0,0.98,0,0,9.82,0,0.98,0,0.98,0
 84-94,0,0,0,0,3.19,1.06,219.84,1.06,0,0,140.19,1.06,0,1.06,0,0,2.12,1.06,1.06,0,14.87,1.06,1.06,1.06,84.96,47.79,1.06,1.06,0,0,4.25,0,0,1.06,0,0,7.43,1.06,1.06,1.06,0,2.12
 96-106,0,0,1.09,0,9.84,3.28,213.11,0,1.09,0,275.4,2.19,0,0,2.19,0,4.37,2.19,3.28,0,20.76,0,0,2.19,89.61,67.76,1.09,0,0,1.09,5.46,0,0,1.09,1.09,0,10.93,4.37,0,2.19,0,0
108-118,1.53,0,0,0,8.43,0,223.66,0.77,2.3,0.77,250.47,1.53,0,0,0,0,1.53,1.53,1.53,0.77,19.15,0,1.53,1.53,94.21,72,0,0,0,0,0,0,0,0,1.53,0,7.66,3.06,0.77,0.77,0,0.77
120,1.96,0,0,0,1.96,0,213.62,0,0,0,293.97,0,0,0,1.96,0,1.96,1.96,1.96,1.96,9.8,0,0,0,109.75,160.7,0,0,0,0,0,0,0,0,0,0,25.48,0,0,3.92,0,0
