stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,10.51,0,0,0,0,0,0,0,0,63.09,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,44.06,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,2,0,0,19,0,0,0,0,1,2,0,1,2,5,0,0,0,0
 24-34,0,0,0,0,4.1,0,0.82,2.46,0,0,0,0,0,20.52,0,0,0,0,0.82,0,0.82,0,0,5.75,0,0,0,0
 36-46,0,0,0,0,10.47,0,0,0.81,0,0,1.61,0,0.81,24.17,0,0,0,0,0.81,0,0,0,0,6.45,0,0,0,0
 48-58,0,0,0,0,6.31,0,0,1.72,0,0,2.3,0,1.15,18.36,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0.57
 60-70,0,0,0,0,9.82,0,0.98,2.94,0,0,1.96,0,0,9.82,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0.98,0,12.76,0.98,0.98,2.94,0.98,0,1.96,0.98,0,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,7.43,0,0,0,0,2.12,1.06,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,1.09,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0.77,0,0.77,0,0,0.77,0,0,0.77,0,1.53,3.06,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,1.96,5.88,0,0,1.96,0,0,3.92,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
