stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,3.15,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,7,0
 24-34,0,0,0.82,2.46,0,0,0,0,0,0,0,0,0,0,0.82,20.52,0,0,0,2.46,0,5.75,0
 36-46,0,0,0,0.81,2.42,0,0,0,0,0,0,0,0,0,0,31.42,4.03,0,0,4.83,0,4.03,0
 48-58,0,0,0,0,1.15,0.57,0,0,0,0,0,1.15,0.57,0,0,19.51,0.57,0,0,1.15,0,2.87,0
 60-70,0,0,0,1.96,1.96,0,0,0,0,0,0,0.98,0,0,0,50.06,0,0,0,0,0,5.89,0
 72-82,0,0,0,0.98,5.89,1.96,0,0,0.98,0.98,0.98,2.94,0.98,0.98,0,29.45,3.93,0,0,4.91,0,0,0
 84-94,0,0,0,1.06,3.19,1.06,0,0,1.06,1.06,0,0,0,1.06,0,12.74,0,0,0,5.31,0,0,0
 96-106,0,0,0,2.19,4.37,1.09,2.19,1.09,0,0,0,0,0,0,0,12.02,1.09,0,0,3.28,0,0,1.09
108-118,0,0,0,2.3,4.6,0,1.53,0,0.77,1.53,0.77,2.3,0,0,0,10.72,0,0.77,0,2.3,0,0,0
120,0,0,0,1.96,7.84,1.96,0,0,1.96,0,0,1.96,0,0,0,15.68,1.96,0,0,7.84,0,0,0
