stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,78.86,0,0,26.29,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,9.44,0,0,3.15,0,0,0,0,0,0,0,0,81.82,3.15,0,22.03,0,0,0,9.44,0,0,3.15,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,6,0
 24-34,0,0,0,0.82,0,3.28,0,0.82,0,0,0,0,0.82,0,0,0,0,24.63,0,0.82,0,0,0,0,0,0,0.82,10.67,0.82
 36-46,0,0,0,0,0,3.22,0,0,0,0,0,0.81,0,1.61,0,0,1.61,33.84,0,0.81,0,0,2.42,0,0,0,0,9.67,0
 48-58,0,0,0,0.57,0,7.46,1.72,0,0,0,0,0,0,2.87,0.57,0.57,0.57,28.69,0,0,0,0,0,0,0,0,0,7.46,0
 60-70,0,0,0,0.98,0,10.8,2.94,0,0,0,0,0,0,0.98,0,0,0,26.5,0,0,0,0,0,0,0,0,0,1.96,1.96
 72-82,0,0,0,0,0,11.78,3.93,0,0.98,0.98,0.98,0,0,4.91,0,0,0,41.23,0,0,0,0.98,1.96,0,0,0,0,2.94,0.98
 84-94,0,0,0,1.06,0,7.43,3.19,0,0,0,0,0,0,4.25,0,0,0,16.99,0,0,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,6.56,3.28,0,0,0,0,0,0,3.28,0,0,0,14.21,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,2.3,0.77,0.77,0,0,0,0,0,3.83,0,0,0,5.36,0,0,0,0.77,0,0,0,0.77,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0
