stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,6,1,0,0,0,0,0,0,0,0,0,3,0,0,1,7,0,0,0,0,0,0,6,0,0,0,0
 24-34,0,0,11.49,4.1,1.64,0,5.75,0,0,0,0,0,0.82,8.21,0,0,0.82,19.7,0.82,0,2.46,0,19.7,0,4.1,0,2.46,0,0
 36-46,0,0,3.22,4.03,0.81,0,5.64,0.81,0,0,0,0,0,3.22,0,0,0.81,24.98,0,0.81,0.81,0,5.64,0,3.22,0,0.81,0,0.81
 48-58,0,0,0.57,1.72,0,0,5.74,0,0,0,0,0,0,6.31,0.57,0.57,0.57,22.95,0,0,0,0.57,4.02,0,2.87,0,2.3,0,0
 60-70,0,0,2.94,2.94,0.98,0,0,0,0.98,0,0,0,0,7.85,0,0,0,33.37,0,0,0.98,0,1.96,0,1.96,0,0,0,0
 72-82,0,0,1.96,1.96,0,0.98,1.96,0,0.98,0,0.98,0,0,14.72,0,0,0,22.58,0,0,0.98,0,0.98,0,1.96,1.96,0,0,0
 84-94,0,0,3.19,2.12,1.06,0,2.12,0,0,1.06,0,0,1.06,3.19,0,0,0,11.68,1.06,1.06,1.06,0,4.25,0,0,1.06,2.12,0,0
 96-106,0,0,0,2.19,0,1.09,4.37,0,1.09,1.09,0,0,0,3.28,0,1.09,0,9.84,0,1.09,0,0,1.09,1.09,1.09,0,0,1.09,1.09
108-118,0,0,6.13,3.83,0,0,3.83,0.77,0,0,0,0.77,0,3.83,0,0.77,0,10.72,0.77,0.77,0,0,2.3,0,0,0,0,0,0
120,0,0,7.84,5.88,0,0,7.84,0,0,0,3.92,0,1.96,11.76,0,1.96,1.96,47.03,1.96,1.96,0,0,0,0,0,0,0,0,0
