stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,9.44,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,0,0,0,19,0,8,2,0,0,2,0,4,0,0,0,0
 24-34,0,0,1.64,0.82,0,0.82,0,0.82,25.45,0,11.49,2.46,0,0,0,0,2.46,2.46,0,5.75,0
 36-46,0,0,0,0,1.61,0,0,0,1.61,4.03,1.61,1.61,0,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,3.44,5.74,1.72,4.02,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,3.93,0,1.96,0,0,0,0,0,0,0.98,0.98,0.98
 72-82,0,0,7.85,0,2.94,0,0,0,6.87,0,0,2.94,0,0.98,0,0,0,0.98,0,0,3.93
 84-94,0,1.06,1.06,0,1.06,0,0,0,0,1.06,0,2.12,0,0,0,0,0,2.12,0,0,1.06
 96-106,0,0,3.28,0,1.09,0,0,0,0,0,0,2.19,0,0,0,0,0,1.09,0,0,1.09
108-118,0,0,5.36,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0.77,0,0,0
120,0,0,1.96,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
