stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,18.88,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,12,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,1,64,104,0,1,0,1,1,5,2,2,23,0,0,0,0,0
 24-34,0,0,4.93,0,4.1,0,10.67,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,11.49,0,0,3.28,135.44,4.1,0.82,1.64,0,8.21,0.82,0,0,0,55,0,0,0.82,0,0
 36-46,0,0,1.61,0,0.81,0,4.83,0,0,0,1.61,0,0,0,0,0,0,0,0,0,7.25,0,0,4.83,302.93,2.42,0.81,0,0,2.42,0.81,0,0,0,70.09,0,0,0,0,0.81
 48-58,0.57,0,0,0,0.57,0,29.26,0,0,1.72,7.46,0,0,0,0,0,0,0,0,0.57,13.77,0,1.72,6.31,406.25,0,1.15,0,0,0.57,0,0,0,0,68.28,0,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,127.6,0.98,0,0,17.67,0,0,0,0.98,0.98,0,0,0.98,0,12.76,0,0,1.96,612.47,0,0,0,0,1.96,0,0,0,0,81.47,0,0.98,0,0.98,1.96
 72-82,0,0,0.98,0.98,8.83,0,230.69,0,0.98,0,32.39,0,0,0,0,0,0,0.98,0,0.98,36.32,0,0.98,1.96,793.18,0,0.98,0.98,0,0,0,0,0,0,69.7,0.98,9.82,2.94,0.98,3.93
 84-94,0,0,0,0,9.56,1.06,164.62,0,1.06,1.06,23.36,1.06,0,1.06,0,0,3.19,1.06,1.06,0,25.49,0,2.12,2.12,488.54,0,1.06,1.06,0,6.37,1.06,0,0,0,36.11,0,9.56,3.19,1.06,0
 96-106,0,0,0,0,8.74,1.09,119.12,0,0,0,22.95,2.19,0,0,1.09,0,2.19,0,0,1.09,18.58,1.09,0,1.09,440.42,1.09,4.37,3.28,0,5.46,0,0,0,0,28.41,2.19,4.37,2.19,0,1.09
108-118,0,0,0.77,0,4.6,0.77,113.36,0,0,0,22.98,0.77,0,0,1.53,0,0.77,0.77,0,0.77,18.38,0,0,0,613.54,0,0.77,0.77,0,3.06,0,0,0,0,17.62,3.06,0.77,0.77,3.83,2.3
120,0,0,0,0,5.88,0,64.67,0,0,0,13.72,0,0,0,0,0,0,0,0,0,13.72,0,1.96,1.96,515.42,0,3.92,1.96,0,5.88,0,0,0,0,29.4,0,1.96,0,1.96,0
