stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,5.26,0,7.89,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,55.2,2.63,0,34.17,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,25.18,9.44,0,18.88,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,15,3,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82,1.64,0.82,0,0,0,4.1,5.75,5.75,0,0
 36-46,0,0,0,2.42,0,0,1.61,0,0,0.81,0,0,0.81,2.42,0.81,0.81,0,1.61,5.64,3.22,0,0,0,4.83,3.22,0,3.22,0
 48-58,0.57,0,0,0.57,0,1.72,1.15,0,0.57,0,0,0,0,1.72,10.33,0.57,0,0,4.59,5.74,0,0,0.57,2.87,2.87,0,1.15,0
 60-70,0,0,0,1.96,0,0.98,1.96,0,1.96,0,0,0,0,1.96,15.7,0,0,0,2.94,6.87,0,0,0,3.93,3.93,0,0,0
 72-82,0,0,0,0.98,0,5.89,0.98,0,0,1.96,0,0,0.98,1.96,38.28,0,0.98,0,6.87,1.96,0,0,0.98,0.98,0,0,1.96,0
 84-94,0,0,0,3.19,0,3.19,0,0,0,1.06,1.06,0,0,0,60.54,2.12,0,0,4.25,3.19,0,0,0,2.12,1.06,0,2.12,1.06
 96-106,0,0,0,2.19,0,3.28,0,0,0,1.09,0,0,0,1.09,54.64,1.09,0,0,9.84,7.65,0,0,0,2.19,0,0,0,0
108-118,0.77,0,0,5.36,0,5.36,3.06,0.77,0.77,1.53,0,0,0,0,40.6,1.53,0,1.53,8.43,12.26,0.77,0,0,1.53,1.53,0,0,0.77
120,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,56.83,0,0,0,9.8,21.56,0,0,0,0,1.96,0,0,3.92
