stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,4,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0.82,0,0,0,0,0,0.82,4.1,0.82,25.45,0,1.64,0.82,0,0.82,0,0,0.82,0.82,4.93,0,0,0.82,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0.81,0,0,1.61,0,32.23,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0
 48-58,0,0,0,0,1.15,0,1.15,0,0,0,1.15,0,0,0,0,0,0,2.3,0,28.12,0.57,0,0.57,0,0.57,0,0,0,0,5.16,0,0,0,0
 60-70,0,0,0,0,0.98,0,16.69,0,0.98,0.98,3.93,0,0.98,0,0,0,0.98,9.82,0.98,59.87,0,0,0,0,0,0,0,0,0,4.91,0.98,0,0.98,0
 72-82,0,0,0,0,1.96,0,17.67,0,0.98,0,1.96,0,0,0,0,0,0,4.91,0.98,38.28,0,0,0.98,0,0.98,0,0,0,0,2.94,0,0,0,0
 84-94,0,0,0,0,4.25,0,13.81,0,0,0,3.19,0,0,0,0,1.06,0,6.37,0,21.24,1.06,1.06,0,0,2.12,0,0,0,0,2.12,0,0,1.06,0
 96-106,0,0,0,0,3.28,0,25.14,1.09,0,0,6.56,1.09,0,1.09,0,1.09,0,3.28,0,21.86,1.09,0,1.09,0,3.28,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0.77,0,0.77,1.53,3.83,0,0,0.77,3.06,0,0,0.77,0,0,0,2.3,0,13.79,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0,1.96,0,23.52,0,3.92,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96
