stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,glial,immune,mesenchyme,neural,olfactory,spinal.cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,18.88,0,0,0
 14-21,0,0,1,0,0,0,0,0,36,0,1,0
 24-34,0,0,0,0,1.64,0,0,0.82,146.93,0.82,10.67,0
 36-46,0,0,0,0,48.34,10.47,0,0,280.37,0,16.92,0.81
 48-58,0,0,0.57,0,68.86,22.95,0,1.72,94.68,0,5.74,0
 60-70,0,0,0,0,50.06,17.67,0,0,21.59,0,0.98,0
 72-82,0,0,0,1.96,19.63,19.63,0,0.98,11.78,0,1.96,0
 84-94,0,0,0,3.19,15.93,8.5,0,0,8.5,0,1.06,0
 96-106,0,0,1.09,2.19,16.39,12.02,0,0,4.37,0,0,0
108-118,0,0,0,9.19,6.13,4.6,0.77,0,6.89,0,0,0
120,0,0,0,1.96,5.88,7.84,0,0,3.92,0,0,0
