stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15,0,2,0,0,0,0,4,1,16,0,0,2,0,0
 24-34,0,0,0,1.64,0,1.64,0,0,0,0.82,0,0,0,0,0.82,0,1.64,0,0.82,92.76,0,14.78,0.82,0,0.82,0,12.31,0,42.68,0,0,0,0,0
 36-46,0,0,0,0,0,4.83,0,0,0,1.61,0,0,0,0,0,0,0,0,0.81,265.87,0,8.06,0,0,0,0,4.03,0,70.9,0,0,0,0,0
 48-58,0,0,0,1.15,0,22.38,0.57,0,0,2.3,0,0,0,0,0,0,4.59,0,1.72,364.37,0,8.61,0,0,0.57,0.57,1.15,0,77.46,0,0,0,0,0
 60-70,0,0,0,0.98,0,48.09,0,0,0,1.96,0,0.98,0,0,0,0,1.96,0,0,557.5,0.98,5.89,0,0,0,0,0.98,0,78.52,0,0,0,0,0
 72-82,0,0,0.98,1.96,0,68.72,0,0,0.98,9.82,0.98,0,0,0,0.98,0,3.93,0,0.98,554.64,0,20.61,1.96,0,1.96,0,0,0,53.01,0,0.98,1.96,0,0
 84-94,0,0,0,1.06,1.06,52.04,0,0,1.06,10.62,0,0,0,0,0,0,8.5,0,0,251.7,0,13.81,2.12,0,1.06,0,0,0,21.24,0,0,0,0,0
 96-106,0,0,0,1.09,0,48.09,0,1.09,2.19,5.46,2.19,0,1.09,0,0,0,5.46,1.09,0,233.87,0,34.97,1.09,0,2.19,0,0,0,8.74,1.09,0,0,1.09,1.09
108-118,0,0,0,5.36,0.77,38.3,0.77,0,0.77,3.83,0,0.77,0,0.77,0,0,5.36,0,0.77,254.3,0,18.38,3.06,0,0,0,0,0,6.13,0.77,0,0,1.53,0
120,0,0,0,11.76,1.96,54.87,0,0,0,11.76,0,0,0,1.96,1.96,0,3.92,0,0,362.56,0,15.68,1.96,0,1.96,0,0,0,21.56,0,1.96,3.92,0,0
