stage,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
 14-21,4,19,0,1,1,1,0,0,9,10,9,5,0,3,174,2,4,66,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,1.15,0,0,0,0,0,0.57,0,5.16,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,5.89,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,18.65,3.93,0,0,0.98,0,0,0,20.61,0,0,0,0,0,0,0,0.98,1.96
 84-94,0,0,10.62,3.19,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,17.49,2.19,0,0,0,0,4.37,0,9.84,0,1.09,0,0,0,0,0,0,0
108-118,0,0,10.72,2.3,0,0,0,0.77,3.06,0.77,19.15,0,0,0,0,0,0,0,0,0
120,0,0,15.68,1.96,0,0,0,0,1.96,0,23.52,0,0,0,0,0,0,0,1.96,0
