stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,57.83,2.63,0,120.92,0,0,0,5.26,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,115.66,21.03,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,94.41,0,3.15,0,6.29,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,251.76,129.03,0,0,44.06,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,3,40,10,0,10,0,0,0,6,1,3,2,0,0,1,1,0,9,32,0,0,25,276,475,10,2,7,0,0,15,1,27,97,0,0,21,0,12
 24-34,0,0,0.82,1.64,18.88,3.28,0,97.68,0,0.82,0.82,12.31,0.82,0,4.1,0,0,0.82,0.82,0.82,18.88,127.23,0,1.64,57.46,1301.06,201.11,40.22,6.57,0,0.82,5.75,1.64,0,4.1,238.87,0,0,114.1,0,89.47
 36-46,0,0,0,0,8.06,0.81,0,379.47,0,1.61,0.81,45.92,0,0,6.45,0,0,1.61,0.81,0.81,2.42,169.19,0,3.22,37.87,1709.63,132.13,29.81,1.61,0,0,1.61,0,1.61,0,328.71,0,0,72.51,0.81,76.54
 48-58,0.57,0,0.57,0.57,6.31,0,0,636.35,1.15,1.72,4.02,88.37,0,0,6.89,0,0,2.87,0.57,0,2.3,214.03,0,9.75,36.72,1226.22,44.18,13.2,1.72,0,0.57,1.72,0,0,0,201.98,0,1.15,66.56,0.57,81.48
 60-70,0,0,0.98,0.98,11.78,0.98,0,569.28,0,0.98,2.94,84.41,0.98,0,1.96,4.91,0,6.87,1.96,0,0,177.66,0,7.85,27.48,830.37,4.91,13.74,0,0,0.98,1.96,0,0,0,92.26,0,3.93,52.02,0.98,61.84
 72-82,0,0,0.98,0,11.78,1.96,0,293.52,0.98,0.98,7.85,98.17,6.87,0,7.85,1.96,1.96,14.72,1.96,0.98,0.98,230.69,0.98,11.78,27.49,648.88,2.94,10.8,3.93,0,4.91,1.96,0,0,0,52.03,0,3.93,117.8,0.98,57.92
 84-94,1.06,0,1.06,0,13.81,0,0,223.03,0,3.19,3.19,56.29,5.31,0,2.12,4.25,3.19,22.3,0,1.06,3.19,146.56,0,15.93,21.24,320.74,4.25,10.62,4.25,0,1.06,3.19,0,0,0,36.11,2.12,2.12,80.71,3.19,63.72
 96-106,0,0,1.09,0,15.3,0,0,148.63,1.09,4.37,3.28,59.01,5.46,0,13.11,3.28,1.09,27.32,3.28,1.09,3.28,102.73,1.09,6.56,16.39,273.21,4.37,10.93,3.28,0,3.28,2.19,0,1.09,0,7.65,1.09,5.46,110.38,4.37,51.36
108-118,0,0,0.77,0.77,14.55,0,1.53,134.81,0,0.77,4.6,44.43,4.6,0,2.3,3.83,1.53,32.94,3.83,3.06,1.53,92.68,0.77,5.36,6.13,307.15,6.13,12.26,2.3,0,4.6,3.83,0,0.77,0,13.02,0.77,0,69.7,3.06,53.62
120,0,0,0,0,7.84,7.84,0,105.83,0,0,0,27.44,1.96,0,9.8,0,0,13.72,3.92,0,3.92,64.67,1.96,9.8,15.68,260.65,1.96,3.92,3.92,0,1.96,1.96,0,0,0,5.88,3.92,0,72.51,5.88,29.4
