stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,6.29,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,57,0,0,0,1,0,0,0,3,1,1,16,0,0,0,0,0
 24-34,0,0,0,1.64,2.46,0,0,15.6,0,0,0,0,0,0,0.82,0,0,0,0.82,1.64,0.82,3.28,0.82,0,4.1,347.22,0,4.1,2.46,0,0,0.82,0,0,0,0,70.59,0,0,1.64,0,0
 36-46,0,0,0.81,0,1.61,0,0,17.72,0.81,0,0,1.61,0.81,0,0.81,0.81,0,0.81,0,0.81,0,3.22,0,0,1.61,725.1,0.81,0.81,1.61,0,0,1.61,0,0,0,0,128.91,0,0,0,0,0.81
 48-58,0,0,0,0,4.59,0.57,0,76.32,0,1.15,0.57,10.9,0.57,0,0,0,0,0,0,1.15,0.57,24.1,0,0,5.16,1375.98,0.57,2.3,2.3,0,0,2.3,0,0,0.57,0,162.96,0,0,4.02,0,2.87
 60-70,0,0,0,0,13.74,0.98,0,166.86,0,2.94,0.98,32.39,0,0.98,0,1.96,0,3.93,0,0.98,0,28.46,0,1.96,1.96,2646.18,1.96,2.94,0,0,0,4.91,0,0,0.98,0.98,221.82,0,0.98,1.96,0.98,3.93
 72-82,0,0,0,0,17.67,13.74,0,352.42,0.98,0.98,5.89,87.37,6.87,0,1.96,2.94,0.98,3.93,0.98,4.91,0,100.13,0,2.94,7.85,2672.08,1.96,6.87,2.94,0,1.96,8.83,0,0,0,0,177.68,1.96,2.94,8.83,0,9.82
 84-94,0,0,0,0,32.92,2.12,0,293.12,1.06,2.12,1.06,60.54,3.19,0,2.12,3.19,0,1.06,1.06,0,1.06,42.48,1.06,1.06,1.06,1360.47,0,1.06,2.12,0,0,10.62,0,0,1.06,0,92.4,2.12,0,1.06,2.12,3.19
 96-106,0,0,0,1.09,32.79,5.46,1.09,239.33,1.09,1.09,3.28,45.9,4.37,0,0,4.37,2.19,3.28,2.19,1.09,0,66.66,0,3.28,3.28,1011.98,2.19,1.09,6.56,0,0,8.74,0,0,0,1.09,27.32,2.19,1.09,2.19,3.28,1.09
108-118,0,0,0,0,22.21,3.06,0,151.66,0.77,1.53,0,35.23,1.53,0,0,4.6,1.53,0,0,2.3,0,57.45,1.53,0,3.06,1400.95,0.77,3.83,6.13,0,0,4.6,0,0,0,0,22.98,0.77,3.06,1.53,0,0
120,0,0,0,0,15.68,9.8,1.96,145.02,0,0,0,45.08,1.96,0,0,0,0,0,0,0,0,33.32,0,1.96,3.92,1236.62,0,5.88,0,0,1.96,9.8,0,0,1.96,1.96,29.4,1.96,0,0,0,0
