stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,1.64,0,3.28,0,0,9.85,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,2.42,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,5.64,0,0,0,0,0
 48-58,0,0,0,0,0,0,3.44,0,0,0,0,0.57,0,0,0,0,0,0,21.23,0,3.44,1.15,9.18,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,1.96,0,0,0,3.93,0,0,0,0,0,0,0,145.27,0,4.91,0,20.61,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,13.74,0,0,1.96,55.95,0,0.98,0,0,0.98,0.98,0,369.1,0,12.76,0,50.06,0,0.98,6.87,0,0.98,0,0,0.98
 84-94,0,1.06,0,3.19,0,0,10.62,0,0,2.12,147.62,0,0,1.06,0,0,1.06,1.06,304.8,2.12,6.37,0,44.61,0,0,20.18,0,0,1.06,0,0
 96-106,0,3.28,0,10.93,3.28,0,9.84,0,1.09,1.09,182.51,0,2.19,0,0,0,0,0,171.58,0,22.95,0,97.26,0,3.28,10.93,0,0,0,1.09,1.09
108-118,0,0.77,0.77,2.3,0.77,0.77,9.19,0,0,1.53,282.64,0,0,0,0.77,0,1.53,0,117.96,0.77,22.21,0,86.55,0.77,0.77,14.55,0.77,0,0,0,0.77
120,0,0,0,1.96,0,0,3.92,0,0,0,131.31,0,0,0,0,0,1.96,0,137.18,0,21.56,7.84,62.71,0,1.96,17.64,0,0,0,0,0
