stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,24,244,21,0,23,0,0,0,2,9,1,3,13,3,0,0,0,39,1,0,18,163,4,2,11,1,0,73,2,8,1,14,33,0,0,0,0,0
 24-34,0,0,1.64,5.75,62.39,2.46,0,4.93,0,0,0.82,3.28,1.64,0,1.64,28.73,8.21,0,0.82,4.1,10.67,4.93,0,4.93,75.52,4.1,0.82,0.82,0,0,146.93,0,6.57,0,0,34.48,0,0,3.28,0,0
 36-46,0,0,0.81,2.42,57.2,0,0,8.06,0,1.61,0,4.03,4.83,0,0.81,33.84,3.22,0,0.81,4.03,11.28,0.81,0.81,3.22,124.88,5.64,1.61,3.22,0,0,154.69,0,4.83,0,0,40.28,0,0,1.61,0,0
 48-58,0,0,0,0,23.53,0,0,7.46,1.15,1.72,0.57,4.02,1.72,0,1.72,17.79,0.57,0.57,1.15,1.15,13.2,2.3,0,1.15,128.53,0.57,0,1.15,0,0,75.74,0,2.87,0,0,10.9,0,0,0,0,0
 60-70,0,0,2.94,0,59.87,0,0,22.58,0.98,14.72,1.96,18.65,4.91,0,6.87,35.33,5.89,0,0.98,3.93,41.22,3.93,0,0.98,227.71,0.98,1.96,1.96,0,0.98,97.17,0,6.87,0,0,8.83,0.98,1.96,1.96,0,0
 72-82,0,0,1.96,0,45.16,0.98,0,26.5,0,2.94,3.93,37.3,13.74,0,6.87,47.12,2.94,0,2.94,1.96,42.21,3.93,0.98,1.96,266.03,1.96,0.98,1.96,0,0,117.8,0,0.98,0,0,4.91,0.98,0,0.98,0.98,0.98
 84-94,0,0,2.12,1.06,109.39,2.12,1.06,19.12,0,22.3,0,13.81,13.81,0,4.25,70.09,21.24,0,5.31,3.19,39.3,3.19,2.12,4.25,168.86,0,2.12,3.19,0,0,276.13,0,11.68,0,0,3.19,5.31,3.19,5.31,1.06,3.19
 96-106,0,0,7.65,0,130.05,2.19,2.19,27.32,1.09,36.06,2.19,46.99,16.39,0,14.21,81.96,22.95,0,5.46,0,31.69,13.11,0,2.19,171.58,0,4.37,5.46,0,1.09,593.42,0,9.84,0,0,4.37,9.84,1.09,5.46,1.09,0
108-118,0,0,3.06,0.77,202.98,2.3,4.6,26.81,0,68.17,1.53,20.68,45.96,0,7.66,71.23,51.32,0.77,10.72,9.96,23.74,16.09,1.53,4.6,180,1.53,0.77,5.36,0,0.77,722.3,0,15.32,0,0,0.77,20.68,0.77,3.06,0.77,3.06
120,0,0,0,0,86.23,3.92,0,5.88,0,31.36,0,13.72,21.56,0,5.88,82.31,13.72,0,5.88,1.96,17.64,9.8,0,3.92,203.82,3.92,3.92,0,0,3.92,252.81,0,5.88,0,0,1.96,5.88,1.96,1.96,1.96,0
