stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,7,3,5,0,0,0,0,1,1,5,0,1,2,0,0,0,0,2,0,0
 24-34,0,0,1.64,0.82,0,0,0.82,0,0.82,2.46,0.82,3.28,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.83,0.81,1.61,0,0,0.81,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,3.44,0,1.15,0.57,0,1.15,0,0,0,0.57,0.57,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,2.94,0,0.98,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,2.94,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,4.25,0,0,1.06,0,1.06,0,1.06,0,0,2.12,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,3.28,2.19,1.09,1.09,0,0,3.28,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0,0,0.77,2.3,1.53,0,3.06,0,0,0.77,0,0.77,0,0,0,1.53,0
120,0,1.96,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,1.96,1.96
