stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,18,0,0,0,0,0,0,4,0,0,2,5,0,2,0,0
 24-34,0,0,0.82,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,23.8,0.82,0,0,0,0,5.75,0,0,0,0,7.39,0,0.82,0,0
 36-46,0,0,0,0,5.64,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0.81,1.61,0,0,0,32.23,0,1.61,0,0,0,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,8.03,0.57,0.57,0.57,2.3,0,0.57,0,0,0,0,0,0,1.72,9.75,0.57,0,1.72,27.54,0,0.57,0,0,0,5.16,0,0,0.57,0,1.72,0,0.57,0,0
 60-70,0,0,3.93,0,14.72,0.98,1.96,0.98,5.89,0,0,0,1.96,1.96,0,0,0,0.98,16.69,0.98,0,1.96,33.37,0,1.96,0,0,0,5.89,0,0,0,0,7.85,0,2.94,0,2.94
 72-82,0,0,3.93,7.85,17.67,0,0,0,8.83,1.96,0,0,1.96,0,0,0,0,0,40.25,0,0.98,1.96,53.99,0,3.93,0.98,0,0,7.85,0,0,0,0,4.91,0.98,8.83,0,2.94
 84-94,0,0,5.31,3.19,12.74,0,1.06,2.12,4.25,0,0,0,14.87,0,0,0,1.06,2.12,19.12,1.06,0,5.31,21.24,0,0,0,0,0,12.74,0,1.06,1.06,0,4.25,0,2.12,1.06,1.06
 96-106,0,1.09,7.65,5.46,14.21,2.19,3.28,0,3.28,2.19,0,3.28,10.93,2.19,1.09,1.09,2.19,0,29.51,1.09,4.37,0,17.49,0,2.19,0,0,0,32.79,0,0,0,0,3.28,0,5.46,0,4.37
108-118,0,0,7.66,5.36,12.26,0,1.53,1.53,6.13,1.53,0,0,9.19,3.06,3.06,0,0,6.13,19.15,0,0.77,3.06,18.38,1.53,0,0.77,0,0.77,19.92,0,0,0,0,1.53,0,6.13,0,3.06
120,0,0,7.84,9.8,15.68,0,3.92,1.96,1.96,1.96,0,0,31.36,1.96,1.96,1.96,1.96,0,19.6,1.96,0,0,27.44,0,1.96,0,0,0,27.44,0,0,0,0,3.92,0,1.96,1.96,0
