stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,1,0,0,1,0,2,0,3,2,0,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,0.82,0,0.82,0,0.82,0.82,0.82,0,0,0,0,1.64,0,0.82,3.28,0,0,0,0.82,0,0,2.46,3.28,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,5.64,0,0.81,0,0,0.81,0,0,0,0,0.81,0.81,0,0.81,0,0,7.25,0,0,0,0.81,0,0,4.03,0,2.42,0,0,2.42,0,0
 48-58,0,0,0,0,0,15.49,0,1.15,0,0.57,0.57,0,0,0,0,0,0,0,5.16,0,0,8.03,0,0,0,0,0,0,3.44,0,1.15,0,0,1.72,0,0
 60-70,0,0,0,0,0.98,43.19,0,0.98,1.96,0,0.98,0,0,0.98,0,0,1.96,0,3.93,0,0.98,16.69,0,0,0,0.98,0,0,5.89,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,104.06,0,4.91,0,0,0.98,1.96,0,0,0,1.96,0,0,8.83,0.98,0.98,14.72,0,0,0.98,0,0,0,5.89,0,0,0,0.98,3.93,0,0
 84-94,0,0,0,0,2.12,71.16,0,5.31,0,1.06,0,2.12,2.12,3.19,0,4.25,0,0,3.19,0,3.19,2.12,0,0,0,3.19,0,0,7.43,0,0,0,2.12,3.19,1.06,0
 96-106,0,0,0,0,1.09,93.98,1.09,5.46,1.09,1.09,1.09,7.65,0,0,0,1.09,0,1.09,6.56,1.09,0,5.46,1.09,0,1.09,5.46,0,0,5.46,0,1.09,0,0,3.28,1.09,0
108-118,0,0,0.77,0,3.83,77.36,0.77,3.06,1.53,0.77,0,11.49,0,1.53,0,3.06,0,1.53,6.89,0,2.3,6.13,0,0,0.77,4.6,0,0,2.3,0,0,0.77,0,2.3,0,0.77
120,1.96,0,0,0,1.96,72.51,0,0,0,0,0,3.92,0,0,1.96,0,0,0,7.84,0,0,7.84,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0
