stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,2.46,0,0,1.64,0,0,0
 36-46,0,0,4.83,0,0.81,0,0,0,0.81,0,0,0,0.81,0.81,11.28,0.81,0,0,1.61,0,0
 48-58,0.57,0,6.89,0,0,0,0,0,0.57,0,1.15,0,1.72,1.15,15.49,1.15,0,1.15,2.3,0.57,0
 60-70,0,0,5.89,0,0.98,0,0,0,0,0,0,0,3.93,0.98,32.39,0,0.98,0,6.87,0,0
 72-82,0,0.98,22.58,0,4.91,0,0,0,0,0.98,0,0,5.89,0.98,45.16,1.96,0,1.96,7.85,0,0
 84-94,1.06,0,28.68,0,5.31,0,0,0,0,0,0,1.06,5.31,2.12,24.43,2.12,0,0,3.19,1.06,0
 96-106,2.19,0,18.58,0,8.74,0,0,0,0,0,1.09,0,2.19,1.09,19.67,2.19,1.09,0,4.37,1.09,2.19
108-118,0.77,0,19.92,0,6.13,0.77,0.77,0.77,0.77,0,3.83,0,4.6,0.77,25.28,0.77,0,0.77,1.53,0,0
120,1.96,0,13.72,3.92,3.92,0,0,0,1.96,1.96,3.92,1.96,1.96,5.88,41.16,0,0,1.96,5.88,0,0
