stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,33,3,0,0,1,0,0,0,3,5,0,0,0,0,28,0,10,8,3,0,0,0,1,1,0,1,1,0,0,0
 24-34,0,0,0,100.97,0.82,0,0.82,2.46,0,0,0,0.82,4.1,0,0,0,0.82,5.75,1.64,3.28,18.88,1.64,1.64,0,0,22.98,0,3.28,0,5.75,0,0.82,0
 36-46,0,0,0,53.98,0,0,3.22,5.64,0,0,0,1.61,2.42,0,0,0,0.81,0.81,4.03,1.61,9.67,0,0,0.81,0,26.59,0,2.42,0,0.81,0,0,0
 48-58,0,0,0,35.58,0,0,6.31,7.46,0.57,0,0.57,1.15,1.72,0,1.72,0.57,0,2.87,8.61,0.57,9.18,0,0.57,0,0,16.64,0,1.72,0,2.3,0,0,0.57
 60-70,0,0,0,40.24,0,0,9.82,8.83,0,0.98,0,0,0,0.98,0.98,0,0,14.72,10.8,0,7.85,0,1.96,0,0,28.46,0,0.98,0,0.98,0,0,0
 72-82,0,2.94,0,40.25,0,0.98,4.91,9.82,0.98,0.98,3.93,0.98,0.98,0,3.93,0,0.98,7.85,19.63,0,14.72,0,1.96,1.96,0,11.78,0,0,0,0.98,0,0.98,0
 84-94,0,0,1.06,83.9,0,0,3.19,14.87,0,1.06,6.37,1.06,0,0,4.25,0,0,2.12,25.49,1.06,3.19,0,3.19,1.06,0,37.17,0,0,0,0,2.12,0,0
 96-106,0,0,0,67.76,0,1.09,2.19,14.21,0,4.37,8.74,1.09,0,0,3.28,0,1.09,1.09,25.14,0,6.56,1.09,4.37,0,0,20.76,0,0,0,2.19,0,1.09,0
108-118,0,0.77,0,99.58,0,7.66,6.89,22.21,0,0,22.21,0,0.77,0.77,0,0.77,0,1.53,16.09,0,6.13,0,0.77,0.77,0,16.09,0,2.3,0,0,0.77,0.77,0
120,0,0,0,94.07,0,3.92,3.92,5.88,1.96,0,15.68,0,1.96,0,0,1.96,0,1.96,13.72,0,5.88,0,5.88,0,0,7.84,0,5.88,0,0,1.96,0,0
