stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,9,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,3.28,0,0,0,0,0,0,3.28,0,0,0,0,0,18.06,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,1.61,0,0,0,0,0
 48-58,0,0,0,0,1.15,0.57,0,0,1.15,0.57,0,0,0,0,0,0,0,0.57,0.57,2.3,0,0,0,0,0,9.18,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,9.82,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,10.8,0.98,0,0,0,0,0
 72-82,4.91,0,0,0.98,4.91,0,0,0.98,1.96,72.64,0,0,0,0.98,0.98,2.94,0,0,0.98,18.65,0,0,0,1.96,0,12.76,0,0,0,0,0,0
 84-94,10.62,0,0,1.06,2.12,0,0,0,0,147.62,0,1.06,1.06,0,0,0,0,0,0,7.43,0,0,0,0,0,14.87,2.12,0,1.06,1.06,0,0
 96-106,17.49,0,0,3.28,9.84,0,1.09,1.09,2.19,325.67,0,1.09,0,1.09,1.09,4.37,1.09,1.09,0,68.85,1.09,1.09,0,5.46,0,27.32,0,2.19,0,1.09,0,1.09
108-118,9.96,0,2.3,0.77,8.43,0.77,0,0,1.53,426.64,0,1.53,0,0,2.3,4.6,0.77,0,1.53,58.21,0,0,0,3.83,0,55.15,0,0,0,2.3,0.77,0
120,5.88,0,0,0,3.92,0,1.96,0,1.96,303.77,0,0,0,0,7.84,5.88,0,0,0,50.95,0,1.96,0,0,0,25.48,0,0,0,0,1.96,0
