stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,165.5,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.23,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,6.29,0,0,15.73,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,30,1,0,7,0,0,0,2,0,0,0,0,2,0,0,0,12,0,0,7,41,0,0,0,0,0,0,0,3,1,0,3,8,0,0,7,0,0
 24-34,0,0,0,2.46,18.06,3.28,0,37.76,0,0.82,0,3.28,2.46,0,0.82,0,0.82,0.82,0.82,0,38.58,0,0,14.78,117.38,0,24.63,0,0,0,0.82,0,0.82,0.82,0,1.64,22.16,0,0,29.55,0,0
 36-46,0,0,0,0,9.67,0,0,64.45,0,0.81,0.81,7.25,1.61,0,2.42,0,0,1.61,0,0,95.87,0,5.64,16.92,68.48,1.61,18.53,2.42,0,0,0,1.61,0,0,0,0,26.59,0,0,18.53,0,0
 48-58,0.57,0,0,0,14.92,1.15,0,71.73,0,0.57,2.3,11.48,1.15,0,1.72,0.57,0.57,2.3,0,0.57,113.04,0,26.4,17.21,55.09,1.72,8.61,0,0,0.57,1.15,0,0,0,0.57,0,8.03,0,1.15,18.36,0,0
 60-70,0,0,1.96,0,24.54,0,0,90.3,0,2.94,0.98,25.52,5.89,0,0.98,0,0.98,6.87,0.98,3.93,162.93,0,33.37,11.78,110.91,0,3.93,1.96,0,3.93,1.96,0,0,0,0,0,11.78,0,9.82,38.28,10.8,0.98
 72-82,0,0,24.54,0,37.3,2.94,0.98,90.31,0.98,4.91,9.82,60.86,30.43,0,6.87,0.98,0.98,0.98,0.98,61.84,347.51,3.93,37.3,18.65,196.33,1.96,18.65,1.96,0,2.94,1.96,0,0,0,0,0,1.96,0.98,13.74,124.67,26.5,0.98
 84-94,0,0,11.68,0,101.96,2.12,1.06,152.93,0,10.62,6.37,31.86,26.55,0,3.19,2.12,5.31,2.12,1.06,229.4,255.95,1.06,40.36,10.62,96.65,0,14.87,4.25,0,0,3.19,0,0,1.06,1.06,0,7.43,8.5,20.18,108.33,30.8,1.06
 96-106,0,0,16.39,0,187.97,4.37,0,156.28,1.09,14.21,5.46,85.24,56.83,0,8.74,2.19,5.46,3.28,2.19,484.13,369.38,4.37,38.25,26.23,179.23,1.09,31.69,1.09,0,10.93,14.21,1.09,0,3.28,1.09,0,6.56,6.56,10.93,146.44,33.88,3.28
108-118,0,0,8.43,0,214.47,2.3,0,130.21,0.77,18.38,6.89,95.75,53.62,0,6.13,0.77,5.36,3.06,2.3,875.5,439.66,3.06,16.09,32.17,195.32,1.53,25.28,0,0,14.55,4.6,0,0,1.53,0.77,0,4.6,10.72,3.06,121.79,38.3,0.77
120,1.96,0,7.84,0,117.59,3.92,0,70.55,0,11.76,5.88,54.87,37.24,1.96,3.92,1.96,1.96,0,3.92,466.43,311.61,5.88,15.68,21.56,94.07,7.84,23.52,0,0,11.76,1.96,1.96,0,0,0,0,0,5.88,5.88,107.79,43.12,0
