stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,1011.39,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,159.37,0,0,0,61.3,12.26,0,0,0,0,0,0,0
  7-9,7.89,21.03,23.66,0,0,28.92,0,0,0,0,0,13.14,0,0,0,0,0,0,0,396.94,13.14,0,0,276.01,2.63,0,0,0,0,0,0,0
 10-12,0,18.88,6.29,0,3.15,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,975.56,15.73,0,0,273.79,3.15,0,18.88,0,3.15,0,0,0
 14-21,0,1,3,173,8,28,0,0,0,5,1,2,2,0,0,1,15,0,12,1485,2,2,17,23,184,75,5,24,110,181,0,0
 24-34,0,0,0,4.1,0.82,3.28,0,0.82,0,5.75,0,1.64,0,0.82,1.64,0.82,19.7,0,2.46,430.13,0,3.28,0,0,72.24,0,0,1.64,1.64,23.8,0,2.46
 36-46,0,0,0,1.61,0,0.81,0,0,0,3.22,0,0,0,0,0,0,1.61,0,0.81,102.32,0,2.42,0,0,16.11,0,0,0,0,6.45,0,0
 48-58,0.57,0,0,1.72,0,1.72,0.57,0,0,3.44,0,0,0,0,0,0,5.16,0,0,29.26,0,1.15,0,0,4.59,0,0,0,0,4.02,0,0
 60-70,0,0,0,0,0,3.93,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,10.8,0,0,0,0,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,0,0,2.94,0,0,0,2.94,0,0,0,0,0,0,2.94,0,0,10.8,0,0.98,0,0,0.98,0,0,0,0,1.96,1.96,0
 84-94,0,0,0,0,0,4.25,0,0,1.06,1.06,0,0,0,0,0,0,1.06,0,0,5.31,0,0,0,0,13.81,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,3.28,0,0,0,0,8.74,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.83,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0.77,0,0,0,0,5.36,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
