stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vasculature,xanthophores
 14-21,4,0,1,0,0,0,0,0,0,2,0,0,12,1,0,0,1,2,7,0,0
 24-34,1.64,0.82,20.52,0,0.82,0.82,0,0,0,5.75,0,6.57,125.59,0,0,0.82,1.64,0.82,25.45,2.46,0
 36-46,0.81,0,63.65,0,4.03,0,0,0.81,0,5.64,0.81,2.42,91.04,0,1.61,0,0,0,20.95,0,0
 48-58,2.3,0,75.74,0.57,3.44,0,0,0,0,9.75,0.57,1.72,53.36,0.57,0.57,0,0,0,1.72,0.57,0.57
 60-70,3.93,0,65.76,0,1.96,1.96,0,0,0,9.82,0,0.98,45.15,0,0,0.98,0,0,1.96,0.98,0
 72-82,0.98,0,14.72,0,2.94,0,0,0,0,10.8,0,0,27.49,0,0,0,0,0,0.98,0.98,0
 84-94,1.06,0,12.74,0,1.06,0,1.06,0,0,5.31,0,1.06,9.56,0,0,0,0,0,0,1.06,0
 96-106,0,0,5.46,0,2.19,0,0,0,1.09,2.19,0,0,5.46,0,1.09,0,0,0,0,1.09,0
108-118,0,0.77,3.83,0,0.77,0,0,1.53,0,1.53,0.77,0,4.6,0,0,0.77,0,0,0,1.53,0
120,0,1.96,15.68,1.96,1.96,0,0,1.96,0,3.92,0,1.96,11.76,0,0,0,0,0,0,1.96,0
